Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[91, 37, 54, 40.66, 1.42]","[96, 46, 50, 47.92, 1.25]","[39, 13, 26, 33.33, 1.15]","[97, 41, 56, 42.27, 1.4]","[81, 46, 35, 56.79, 1.48]","[102, 48, 54, 47.06, 1.41]","[63, 26, 36, 41.27, 1.65]","[115, 48, 67, 41.74, 1.24]","[88, 36, 52, 40.91, 1.28]","[92, 42, 50, 45.65, 1.66]","[75, 36, 39, 48.0, 1.52]","[79, 40, 39, 50.63, 1.48]","[64, 34, 30, 53.12, 1.2]","[73, 35, 38, 47.95, 1.29]","[143, 61, 82, 42.66, 1.29]","[80, 36, 44, 45.0, 1.56]","[89, 39, 50, 43.82, 1.34]","[79, 36, 43, 45.57, 1.32]","[123, 64, 59, 52.03, 1.54]","[115, 50, 65, 43.48, 1.37]","[93, 44, 49, 47.31, 1.71]","[88, 43, 45, 48.86, 1.2]","[90, 35, 55, 38.89, 1.62]","[127, 57, 70, 44.88, 1.41]","[85, 39, 46, 45.88, 1.6]","[79, 36, 42, 45.57, 1.76]","[82, 37, 45, 45.12, 1.46]","[93, 45, 48, 48.39, 1.2]","[61, 24, 37, 39.34, 1.34]","[108, 52, 56, 48.15, 1.49]","[98, 49, 49, 50.0, 1.41]","[99, 46, 53, 46.46, 1.37]","[23, 8, 15, 34.78, 1.43]","[86, 45, 41, 52.33, 1.38]","[101, 44, 57, 43.56, 1.43]","[69, 34, 35, 49.28, 1.33]","[71, 40, 31, 56.34, 1.58]","[68, 33, 35, 48.53, 1.5]","[57, 18, 39, 31.58, 1.75]","[47, 27, 20, 57.45, 1.49]","[63, 30, 33, 47.62, 1.44]","[106, 51, 55, 48.11, 1.53]","[96, 38, 58, 39.58, 1.29]","[110, 53, 57, 48.18, 1.39]","[82, 29, 53, 35.37, 1.72]","[91, 48, 43, 52.75, 1.3]","[46, 25, 21, 54.35, 1.5]","[84, 37, 47, 44.05, 1.48]","[95, 48, 46, 50.53, 1.6]","[94, 49, 45, 52.13, 1.41]","[83, 35, 48, 42.17, 1.29]","[91, 48, 43, 52.75, 1.51]","[71, 40, 31, 56.34, 1.46]","[112, 50, 62, 44.64, 1.6]","[92, 35, 57, 38.04, 1.72]","[93, 38, 55, 40.86, 1.22]","[68, 33, 35, 48.53, 1.22]","[102, 55, 47, 53.92, 1.26]","[64, 35, 29, 54.69, 1.67]","[0, 0, 0, 0, 0]","[58, 25, 33, 43.1, 1.24]","[104, 45, 59, 43.27, 1.5]","[132, 45, 87, 34.09, 1.42]","[69, 36, 33, 52.17, 1.61]","[96, 39, 57, 40.62, 1.51]","[95, 39, 56, 41.05, 1.41]","[96, 43, 53, 44.79, 1.46]","[81, 36, 45, 44.44, 1.44]","[76, 37, 39, 48.68, 1.39]","[83, 39, 44, 46.99, 1.78]","[61, 26, 35, 42.62, 1.57]","[86, 38, 48, 44.19, 1.38]","[116, 49, 67, 42.24, 1.38]","[89, 44, 45, 49.44, 1.66]","[101, 48, 53, 47.52, 1.33]","[98, 41, 57, 41.84, 1.46]","[74, 38, 35, 51.35, 2.04]","[75, 35, 40, 46.67, 1.44]","[82, 34, 48, 41.46, 1.4]","[160, 70, 90, 43.75, 1.24]","[64, 29, 35, 45.31, 1.47]","[65, 30, 35, 46.15, 1.54]","[118, 51, 67, 43.22, 1.31]","[32, 16, 16, 50.0, 1.25]","[46, 18, 28, 39.13, 1.43]","[105, 48, 57, 45.71, 1.38]","[108, 52, 56, 48.15, 1.44]","[88, 39, 49, 44.32, 1.49]","[86, 40, 46, 46.51, 1.41]","[81, 37, 44, 45.68, 1.31]","[131, 59, 72, 45.04, 1.3]","[92, 43, 49, 46.74, 1.33]","[82, 35, 47, 42.68, 1.65]","[92, 37, 55, 40.22, 1.39]","[75, 41, 34, 54.67, 1.53]","[79, 39, 40, 49.37, 1.47]","[87, 39, 48, 44.83, 1.52]","[82, 42, 40, 51.22, 1.26]","[109, 46, 63, 42.2, 1.31]","[102, 47, 55, 46.08, 1.69]","[145, 70, 75, 48.28, 1.21]"
"(3, 1)","[71, 25, 46, 35.21, 2.96]","[71, 26, 45, 36.62, 2.42]","[35, 9, 26, 25.71, 1.69]","[76, 28, 48, 36.84, 2.96]","[62, 30, 32, 48.39, 3.08]","[82, 33, 48, 40.24, 2.93]","[49, 18, 30, 36.73, 4.19]","[88, 33, 55, 37.5, 2.59]","[72, 28, 44, 38.89, 2.22]","[70, 24, 46, 34.29, 3.83]","[65, 29, 36, 44.62, 2.48]","[66, 28, 38, 42.42, 3.83]","[52, 25, 27, 48.08, 1.88]","[63, 28, 35, 44.44, 2.02]","[119, 46, 73, 38.66, 2.23]","[61, 28, 33, 45.9, 3.05]","[69, 24, 45, 34.78, 3.01]","[59, 26, 33, 44.07, 3.31]","[87, 35, 52, 40.23, 3.25]","[83, 31, 52, 37.35, 3.28]","[68, 29, 39, 42.65, 4.57]","[73, 32, 41, 43.84, 2.04]","[67, 25, 42, 37.31, 3.61]","[94, 27, 67, 28.72, 3.29]","[61, 21, 40, 34.43, 5.15]","[61, 22, 38, 36.07, 4.15]","[60, 24, 36, 40.0, 3.3]","[73, 30, 43, 41.1, 2.16]","[48, 19, 29, 39.58, 2.58]","[80, 34, 46, 42.5, 3.21]","[77, 38, 39, 49.35, 2.6]","[74, 29, 45, 39.19, 3.07]","[20, 7, 13, 35.0, 2.2]","[67, 21, 45, 31.34, 2.93]","[83, 27, 56, 32.53, 2.69]","[57, 25, 32, 43.86, 2.89]","[52, 22, 30, 42.31, 3.94]","[53, 23, 30, 43.4, 3.58]","[48, 19, 29, 39.58, 3.94]","[39, 17, 22, 43.59, 3.03]","[51, 22, 29, 43.14, 2.94]","[81, 37, 43, 45.68, 4.01]","[83, 29, 54, 34.94, 2.13]","[90, 36, 53, 40.0, 2.61]","[61, 18, 43, 29.51, 4.95]","[75, 37, 38, 49.33, 2.75]","[37, 15, 22, 40.54, 3.3]","[63, 24, 39, 38.1, 2.92]","[71, 29, 41, 40.85, 2.97]","[73, 31, 41, 42.47, 2.53]","[69, 24, 45, 34.78, 2.42]","[68, 30, 38, 44.12, 3.16]","[57, 28, 29, 49.12, 3.25]","[82, 29, 52, 35.37, 3.46]","[66, 23, 43, 34.85, 4.67]","[85, 29, 56, 34.12, 1.66]","[59, 24, 35, 40.68, 2.42]","[80, 31, 49, 38.75, 2.17]","[53, 25, 28, 47.17, 4.09]","[0, 0, 0, 0, 0]","[48, 18, 30, 37.5, 1.81]","[77, 26, 51, 33.77, 3.58]","[92, 23, 69, 25.0, 3.26]","[48, 15, 32, 31.25, 4.21]","[83, 27, 55, 32.53, 2.6]","[77, 25, 52, 32.47, 2.57]","[77, 27, 49, 35.06, 3.17]","[65, 26, 39, 40.0, 3.15]","[67, 32, 35, 47.76, 2.39]","[59, 26, 33, 44.07, 4.54]","[47, 17, 30, 36.17, 4.98]","[68, 22, 46, 32.35, 4.04]","[102, 37, 65, 36.27, 2.34]","[63, 23, 40, 36.51, 3.78]","[72, 26, 46, 36.11, 3.65]","[86, 31, 55, 36.05, 2.24]","[54, 27, 26, 50.0, 5.26]","[53, 22, 31, 41.51, 3.53]","[68, 30, 38, 44.12, 3.31]","[123, 43, 80, 34.96, 2.34]","[45, 16, 29, 35.56, 5.11]","[50, 23, 27, 46.0, 4.16]","[104, 41, 63, 39.42, 1.93]","[25, 11, 14, 44.0, 2.88]","[36, 14, 22, 38.89, 3.39]","[82, 28, 54, 34.15, 2.68]","[78, 35, 43, 44.87, 3.17]","[70, 29, 41, 41.43, 3.24]","[68, 29, 39, 42.65, 2.82]","[62, 27, 35, 43.55, 2.58]","[103, 40, 62, 38.83, 2.23]","[82, 32, 50, 39.02, 1.85]","[60, 22, 38, 36.67, 4.1]","[71, 26, 45, 36.62, 2.99]","[60, 26, 34, 43.33, 3.2]","[65, 28, 37, 43.08, 3.25]","[64, 26, 38, 40.62, 4.42]","[67, 30, 37, 44.78, 2.28]","[86, 30, 56, 34.88, 2.2]","[73, 30, 43, 41.1, 4.19]","[114, 50, 64, 43.86, 2.11]"
"(15, 5)","[27, 9, 18, 33.33, 35.52]","[40, 12, 27, 30.0, 12.38]","[22, 8, 13, 36.36, 7.64]","[36, 13, 22, 36.11, 23.25]","[28, 9, 18, 32.14, 32.14]","[34, 14, 19, 41.18, 31.97]","[22, 10, 11, 45.45, 38.41]","[41, 11, 29, 26.83, 21.73]","[35, 10, 25, 28.57, 21.6]","[30, 9, 20, 30.0, 33.07]","[33, 10, 23, 30.3, 15.24]","[34, 15, 18, 44.12, 26.47]","[31, 10, 21, 32.26, 13.23]","[33, 13, 19, 39.39, 13.91]","[56, 15, 40, 26.79, 14.71]","[32, 15, 17, 46.88, 28.12]","[28, 10, 18, 35.71, 33.75]","[30, 12, 18, 40.0, 26.57]","[41, 11, 29, 26.83, 26.73]","[37, 11, 25, 29.73, 23.81]","[24, 8, 15, 33.33, 45.54]","[36, 14, 22, 38.89, 18.06]","[24, 8, 16, 33.33, 50.04]","[39, 11, 27, 28.21, 27.64]","[21, 9, 11, 42.86, 52.67]","[26, 10, 15, 38.46, 40.27]","[27, 10, 16, 37.04, 24.0]","[42, 11, 30, 26.19, 12.17]","[22, 7, 14, 31.82, 21.68]","[33, 13, 19, 39.39, 30.73]","[38, 16, 22, 42.11, 27.32]","[33, 12, 20, 36.36, 26.61]","[10, 0, 9, 0.0, 20.2]","[31, 14, 16, 45.16, 29.42]","[38, 12, 25, 31.58, 22.79]","[26, 12, 13, 46.15, 31.04]","[20, 10, 10, 50.0, 52.25]","[22, 5, 16, 22.73, 22.91]","[27, 12, 14, 44.44, 30.52]","[17, 4, 12, 23.53, 33.65]","[24, 8, 15, 33.33, 31.12]","[32, 9, 22, 28.12, 35.66]","[45, 18, 26, 40.0, 16.51]","[40, 9, 30, 22.5, 20.05]","[23, 11, 11, 47.83, 41.26]","[38, 15, 22, 39.47, 21.87]","[16, 6, 9, 37.5, 31.44]","[32, 9, 22, 28.12, 17.28]","[36, 14, 21, 38.89, 21.56]","[35, 15, 20, 42.86, 18.83]","[40, 17, 23, 42.5, 17.15]","[35, 12, 22, 34.29, 24.77]","[22, 9, 12, 40.91, 43.23]","[41, 13, 27, 31.71, 21.85]","[23, 8, 15, 34.78, 47.74]","[50, 10, 40, 20.0, 9.76]","[32, 11, 20, 34.38, 22.44]","[41, 15, 26, 36.59, 16.88]","[26, 13, 12, 50.0, 33.08]","[0, 0, 0, 0, 0]","[26, 10, 15, 38.46, 15.42]","[34, 12, 21, 35.29, 29.47]","[37, 7, 30, 18.92, 30.27]","[19, 8, 10, 42.11, 43.42]","[35, 11, 23, 31.43, 27.2]","[40, 15, 25, 37.5, 20.62]","[31, 8, 22, 25.81, 26.52]","[33, 16, 17, 48.48, 22.97]","[34, 13, 20, 38.24, 21.29]","[26, 11, 14, 42.31, 41.42]","[18, 7, 10, 38.89, 62.22]","[29, 9, 19, 31.03, 29.66]","[48, 17, 31, 35.42, 17.75]","[27, 11, 15, 40.74, 39.22]","[35, 8, 26, 22.86, 22.23]","[49, 14, 34, 28.57, 16.31]","[16, 6, 9, 37.5, 65.88]","[20, 13, 6, 65.0, 48.45]","[30, 12, 17, 40.0, 31.3]","[62, 16, 46, 25.81, 13.63]","[21, 12, 8, 57.14, 47.19]","[27, 11, 15, 40.74, 29.93]","[56, 16, 39, 28.57, 14.73]","[13, 3, 9, 23.08, 17.69]","[17, 6, 10, 35.29, 29.47]","[46, 15, 30, 32.61, 14.24]","[35, 11, 23, 31.43, 25.26]","[32, 11, 20, 34.38, 27.12]","[34, 12, 21, 35.29, 25.24]","[30, 10, 19, 33.33, 24.17]","[54, 13, 40, 24.07, 13.17]","[39, 13, 25, 33.33, 17.31]","[26, 12, 13, 46.15, 41.46]","[34, 10, 23, 29.41, 25.71]","[32, 15, 17, 46.88, 24.38]","[23, 9, 13, 39.13, 39.0]","[32, 11, 20, 34.38, 24.75]","[38, 15, 22, 39.47, 16.61]","[41, 11, 30, 26.83, 16.24]","[29, 9, 20, 31.03, 38.31]","[53, 20, 32, 37.74, 15.08]"
"(30, 10)","[15, 6, 8, 40.0, 82.53]","[23, 9, 13, 39.13, 42.26]","[14, 6, 7, 42.86, 22.64]","[19, 7, 11, 36.84, 70.63]","[16, 5, 10, 31.25, 74.25]","[17, 7, 9, 41.18, 79.65]","[12, 7, 4, 58.33, 104.5]","[24, 6, 17, 25.0, 49.71]","[15, 6, 9, 40.0, 81.73]","[12, 4, 7, 33.33, 107.25]","[20, 9, 11, 45.0, 41.1]","[18, 9, 8, 50.0, 69.72]","[18, 7, 11, 38.89, 42.5]","[19, 5, 13, 26.32, 22.68]","[33, 9, 23, 27.27, 34.85]","[14, 7, 6, 50.0, 90.71]","[16, 6, 9, 37.5, 71.62]","[14, 7, 7, 50.0, 93.64]","[18, 5, 12, 27.78, 69.33]","[18, 6, 11, 33.33, 70.61]","[14, 5, 8, 35.71, 64.71]","[22, 9, 12, 40.91, 47.18]","[12, 4, 7, 33.33, 101.08]","[14, 4, 9, 28.57, 107.5]","[9, 4, 4, 44.44, 147.44]","[9, 4, 4, 44.44, 103.56]","[16, 8, 7, 50.0, 70.94]","[27, 8, 18, 29.63, 37.04]","[15, 7, 7, 46.67, 58.07]","[13, 4, 8, 30.77, 96.46]","[17, 7, 10, 41.18, 76.18]","[15, 6, 8, 40.0, 85.4]","[4, 0, 3, 0.0, 35.5]","[17, 7, 9, 41.18, 72.71]","[18, 6, 11, 33.33, 67.17]","[13, 7, 5, 53.85, 82.62]","[8, 4, 3, 50.0, 161.75]","[13, 3, 9, 23.08, 38.0]","[12, 6, 5, 50.0, 96.83]","[11, 3, 7, 27.27, 58.64]","[9, 4, 4, 44.44, 137.22]","[12, 2, 9, 16.67, 109.58]","[26, 11, 14, 42.31, 42.81]","[22, 7, 14, 31.82, 51.64]","[8, 5, 2, 62.5, 166.62]","[20, 9, 10, 45.0, 64.05]","[8, 3, 4, 37.5, 84.88]","[19, 6, 12, 31.58, 41.11]","[17, 7, 9, 41.18, 63.29]","[21, 6, 14, 28.57, 48.43]","[25, 11, 14, 44.0, 44.84]","[23, 5, 17, 21.74, 54.7]","[11, 5, 5, 45.45, 121.0]","[14, 5, 8, 35.71, 81.29]","[9, 4, 5, 44.44, 161.22]","[34, 10, 24, 29.41, 23.06]","[21, 9, 11, 42.86, 50.05]","[26, 10, 15, 38.46, 37.38]","[10, 5, 4, 50.0, 123.8]","[0, 0, 0, 0, 0]","[15, 6, 8, 40.0, 39.8]","[16, 6, 9, 37.5, 79.44]","[17, 2, 14, 11.76, 85.29]","[7, 3, 3, 42.86, 155.43]","[20, 6, 13, 30.0, 60.95]","[20, 6, 13, 30.0, 61.45]","[15, 5, 9, 33.33, 89.73]","[16, 8, 7, 50.0, 67.25]","[14, 7, 6, 50.0, 84.07]","[8, 5, 2, 62.5, 137.12]","[9, 4, 4, 44.44, 122.0]","[8, 4, 3, 50.0, 140.5]","[27, 10, 16, 37.04, 45.7]","[13, 5, 7, 38.46, 100.08]","[18, 4, 13, 22.22, 58.94]","[29, 8, 20, 27.59, 41.38]","[5, 3, 1, 60.0, 218.4]","[11, 7, 3, 63.64, 123.82]","[19, 9, 9, 47.37, 62.11]","[35, 9, 26, 25.71, 37.57]","[10, 6, 3, 60.0, 147.7]","[9, 6, 2, 66.67, 105.78]","[32, 7, 24, 21.88, 34.12]","[6, 1, 4, 16.67, 46.67]","[7, 3, 3, 42.86, 67.71]","[20, 7, 12, 35.0, 60.15]","[18, 7, 10, 38.89, 69.94]","[17, 7, 9, 41.18, 80.53]","[13, 3, 9, 23.08, 96.15]","[17, 7, 9, 41.18, 58.47]","[30, 8, 21, 26.67, 37.8]","[19, 6, 12, 31.58, 55.0]","[9, 5, 3, 55.56, 159.56]","[19, 5, 13, 26.32, 55.21]","[12, 7, 5, 58.33, 99.75]","[10, 5, 4, 50.0, 128.3]","[13, 6, 6, 46.15, 102.38]","[19, 8, 10, 42.11, 57.16]","[25, 9, 16, 36.0, 44.72]","[15, 6, 9, 40.0, 92.87]","[35, 11, 23, 31.43, 33.97]"
