Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[627, 220, 407, 35.09, 3.67]","[645, 257, 388, 39.84, 2.17]","[431, 157, 274, 36.43, 2.41]","[675, 251, 424, 37.19, 2.81]","[621, 213, 408, 34.3, 3.14]","[679, 238, 441, 35.05, 3.29]","[544, 188, 355, 34.56, 3.64]","[736, 275, 461, 37.36, 2.79]","[691, 245, 446, 35.46, 3.17]","[565, 203, 362, 35.93, 4.19]","[669, 259, 410, 38.71, 2.82]","[530, 195, 334, 36.79, 3.77]","[649, 254, 394, 39.14, 2.9]","[541, 179, 362, 33.09, 2.57]","[785, 269, 516, 34.27, 2.63]","[549, 200, 348, 36.43, 3.36]","[632, 220, 412, 34.81, 3.07]","[663, 231, 432, 34.84, 3.17]","[691, 232, 459, 33.57, 3.81]","[702, 250, 452, 35.61, 3.09]","[541, 188, 353, 34.75, 4.33]","[630, 256, 374, 40.63, 2.59]","[546, 217, 329, 39.74, 3.99]","[721, 247, 474, 34.26, 3.57]","[548, 211, 337, 38.5, 4.52]","[548, 212, 336, 38.69, 4.15]","[579, 206, 373, 35.58, 3.15]","[710, 290, 420, 40.85, 2.21]","[463, 162, 301, 34.99, 2.99]","[627, 198, 429, 31.58, 3.97]","[730, 242, 488, 33.15, 3.11]","[682, 237, 445, 34.75, 3.14]","[195, 56, 139, 28.72, 2.93]","[652, 245, 407, 37.58, 3.28]","[577, 217, 360, 37.61, 3.32]","[605, 234, 371, 38.68, 3.05]","[530, 205, 325, 38.68, 3.52]","[399, 139, 260, 34.84, 3.94]","[485, 180, 305, 37.11, 4.68]","[419, 143, 276, 34.13, 3.4]","[630, 227, 403, 36.03, 3.68]","[684, 242, 442, 35.38, 3.96]","[709, 287, 422, 40.48, 2.56]","[702, 270, 432, 38.46, 2.87]","[511, 198, 313, 38.75, 4.35]","[661, 252, 409, 38.12, 3.19]","[373, 148, 225, 39.68, 3.47]","[514, 189, 325, 36.77, 3.06]","[619, 240, 379, 38.77, 3.31]","[671, 245, 426, 36.51, 2.87]","[674, 234, 439, 34.72, 2.92]","[675, 256, 419, 37.93, 2.96]","[550, 214, 336, 38.91, 4.38]","[634, 223, 411, 35.17, 3.47]","[602, 212, 390, 35.22, 4.18]","[786, 324, 462, 41.22, 2.08]","[616, 265, 351, 43.02, 2.73]","[700, 267, 432, 38.14, 3.01]","[510, 201, 309, 39.41, 4.15]","[40, 5, 34, 12.5, 6.22]","[479, 185, 294, 38.62, 3.34]","[639, 233, 406, 36.46, 3.64]","[700, 234, 466, 33.43, 3.36]","[494, 202, 292, 40.89, 3.84]","[646, 219, 427, 33.9, 4.1]","[737, 255, 482, 34.6, 2.97]","[637, 233, 404, 36.58, 3.39]","[638, 241, 397, 37.77, 2.93]","[696, 261, 435, 37.5, 2.81]","[515, 191, 324, 37.09, 4.69]","[515, 164, 351, 31.84, 6.18]","[573, 201, 372, 35.08, 4.89]","[750, 264, 486, 35.2, 2.92]","[581, 201, 380, 34.6, 3.36]","[698, 246, 452, 35.24, 3.28]","[724, 261, 463, 36.05, 2.71]","[413, 148, 265, 35.84, 4.82]","[523, 194, 329, 37.09, 3.7]","[561, 224, 336, 39.93, 2.97]","[909, 321, 588, 35.31, 2.51]","[512, 214, 298, 41.8, 4.12]","[634, 221, 412, 34.86, 3.85]","[832, 311, 521, 37.38, 2.49]","[261, 88, 173, 33.72, 3.02]","[379, 141, 238, 37.2, 3.58]","[726, 251, 475, 34.57, 3.12]","[645, 220, 425, 34.11, 3.1]","[589, 230, 358, 39.05, 3.07]","[678, 231, 447, 34.07, 3.09]","[587, 235, 352, 40.03, 3.22]","[837, 293, 544, 35.01, 2.63]","[733, 273, 460, 37.24, 2.69]","[559, 197, 362, 35.24, 4.58]","[624, 234, 390, 37.5, 3.56]","[560, 231, 329, 41.25, 3.27]","[566, 211, 355, 37.28, 3.53]","[641, 208, 433, 32.45, 3.71]","[671, 229, 442, 34.13, 2.78]","[812, 298, 514, 36.7, 2.25]","[534, 219, 315, 41.01, 4.41]","[835, 274, 561, 32.81, 2.64]"
"(3, 1)","[384, 118, 265, 30.73, 13.66]","[458, 142, 316, 31.0, 6.75]","[307, 106, 201, 34.53, 6.15]","[454, 154, 300, 33.92, 9.04]","[399, 121, 278, 30.33, 11.61]","[426, 136, 290, 31.92, 12.42]","[325, 112, 212, 34.46, 16.78]","[468, 148, 320, 31.62, 10.59]","[435, 150, 285, 34.48, 12.12]","[336, 113, 223, 33.63, 17.07]","[431, 151, 279, 35.03, 10.38]","[338, 117, 221, 34.62, 15.03]","[414, 163, 250, 39.37, 10.47]","[350, 107, 243, 30.57, 7.73]","[525, 157, 368, 29.9, 8.0]","[355, 111, 243, 31.27, 12.79]","[398, 125, 273, 31.41, 12.23]","[420, 130, 290, 30.95, 11.35]","[431, 118, 312, 27.38, 13.75]","[465, 146, 318, 31.4, 10.42]","[324, 105, 218, 32.41, 17.74]","[421, 155, 265, 36.82, 9.09]","[344, 119, 225, 34.59, 16.12]","[448, 137, 311, 30.58, 13.16]","[323, 104, 219, 32.2, 20.67]","[336, 115, 221, 34.23, 17.18]","[368, 120, 248, 32.61, 12.23]","[482, 166, 316, 34.44, 6.71]","[298, 100, 197, 33.56, 12.34]","[388, 105, 282, 27.06, 14.64]","[465, 148, 317, 31.83, 11.48]","[447, 126, 321, 28.19, 10.41]","[128, 38, 90, 29.69, 8.14]","[415, 141, 273, 33.98, 12.41]","[364, 122, 242, 33.52, 12.62]","[385, 136, 248, 35.32, 11.08]","[313, 123, 190, 39.3, 16.9]","[243, 68, 175, 27.98, 12.79]","[283, 97, 186, 34.28, 21.8]","[258, 73, 185, 28.29, 14.31]","[392, 131, 261, 33.42, 14.24]","[415, 127, 287, 30.6, 15.32]","[472, 149, 322, 31.57, 8.28]","[461, 147, 313, 31.89, 9.27]","[302, 106, 196, 35.1, 20.55]","[411, 145, 266, 35.28, 12.27]","[249, 92, 156, 36.95, 12.04]","[325, 110, 215, 33.85, 11.62]","[379, 128, 251, 33.77, 12.88]","[431, 134, 296, 31.09, 9.37]","[425, 143, 281, 33.65, 10.72]","[448, 155, 293, 34.6, 10.9]","[329, 122, 207, 37.08, 17.56]","[388, 119, 269, 30.67, 13.13]","[350, 105, 245, 30.0, 18.57]","[534, 196, 338, 36.7, 5.61]","[404, 146, 257, 36.14, 9.32]","[440, 151, 288, 34.32, 10.09]","[319, 113, 206, 35.42, 17.61]","[18, 3, 14, 16.67, 22.61]","[297, 106, 190, 35.69, 13.17]","[390, 115, 275, 29.49, 15.08]","[444, 127, 316, 28.6, 12.41]","[328, 124, 204, 37.8, 17.04]","[375, 125, 249, 33.33, 16.08]","[477, 139, 337, 29.14, 10.38]","[386, 123, 262, 31.87, 14.24]","[410, 140, 270, 34.15, 10.68]","[463, 149, 314, 32.18, 9.47]","[309, 107, 202, 34.63, 20.83]","[249, 82, 167, 32.93, 31.07]","[310, 101, 209, 32.58, 21.53]","[488, 149, 339, 30.53, 9.33]","[352, 104, 248, 29.55, 16.23]","[447, 132, 315, 29.53, 11.94]","[492, 158, 334, 32.11, 8.17]","[273, 100, 172, 36.63, 21.32]","[336, 112, 224, 33.33, 15.07]","[374, 136, 237, 36.36, 11.52]","[552, 156, 396, 28.26, 8.7]","[311, 105, 206, 33.76, 18.9]","[373, 123, 249, 32.98, 16.06]","[557, 176, 380, 31.6, 7.45]","[159, 50, 108, 31.45, 10.1]","[234, 80, 154, 34.19, 14.29]","[443, 130, 313, 29.35, 11.51]","[427, 122, 305, 28.57, 11.57]","[386, 129, 256, 33.42, 12.16]","[418, 134, 283, 32.06, 12.05]","[375, 129, 246, 34.4, 12.43]","[544, 173, 370, 31.8, 8.42]","[490, 171, 319, 34.9, 8.81]","[327, 113, 214, 34.56, 19.57]","[397, 142, 255, 35.77, 13.03]","[360, 131, 229, 36.39, 12.64]","[373, 137, 235, 36.73, 13.05]","[396, 124, 272, 31.31, 13.37]","[447, 146, 301, 32.66, 9.07]","[528, 167, 360, 31.63, 7.22]","[328, 110, 217, 33.54, 18.46]","[543, 160, 382, 29.47, 8.51]"
"(15, 5)","[57, 17, 39, 29.82, 200.54]","[134, 45, 88, 33.58, 67.73]","[94, 33, 60, 35.11, 55.48]","[84, 30, 53, 35.71, 131.65]","[73, 21, 51, 28.77, 147.45]","[77, 28, 48, 36.36, 147.66]","[51, 23, 27, 45.1, 224.65]","[99, 29, 69, 29.29, 111.94]","[79, 27, 52, 34.18, 144.68]","[50, 19, 30, 38.0, 230.82]","[80, 32, 47, 40.0, 134.06]","[72, 28, 43, 38.89, 154.21]","[93, 40, 52, 43.01, 112.96]","[88, 25, 62, 28.41, 71.22]","[126, 37, 89, 29.37, 85.03]","[63, 26, 36, 41.27, 182.22]","[65, 22, 42, 33.85, 169.75]","[69, 25, 43, 36.23, 164.65]","[74, 19, 54, 25.68, 155.08]","[92, 29, 62, 31.52, 118.2]","[51, 19, 31, 37.25, 223.1]","[96, 37, 58, 38.54, 105.75]","[51, 16, 34, 31.37, 227.9]","[77, 23, 54, 29.87, 151.27]","[38, 12, 25, 31.58, 299.47]","[41, 15, 25, 36.59, 287.56]","[60, 24, 35, 40.0, 182.67]","[123, 40, 82, 32.52, 81.83]","[63, 28, 34, 44.44, 125.22]","[52, 16, 35, 30.77, 219.63]","[79, 26, 52, 32.91, 141.05]","[75, 24, 50, 32.0, 142.04]","[18, 4, 13, 22.22, 148.67]","[70, 25, 44, 35.71, 155.41]","[72, 24, 47, 33.33, 149.6]","[69, 26, 43, 37.68, 160.88]","[42, 15, 27, 35.71, 276.38]","[46, 13, 32, 28.26, 130.17]","[47, 18, 28, 38.3, 227.47]","[46, 13, 32, 28.26, 149.54]","[61, 21, 39, 34.43, 186.3]","[56, 16, 39, 28.57, 209.34]","[106, 34, 71, 32.08, 99.07]","[96, 28, 67, 29.17, 109.72]","[44, 18, 25, 40.91, 257.57]","[76, 29, 46, 38.16, 140.3]","[47, 19, 27, 40.43, 154.87]","[72, 24, 47, 33.33, 116.49]","[72, 27, 44, 37.5, 154.25]","[94, 29, 64, 30.85, 102.4]","[91, 29, 61, 31.87, 121.01]","[86, 22, 63, 25.58, 129.78]","[45, 19, 25, 42.22, 243.11]","[76, 24, 51, 31.58, 144.72]","[46, 15, 30, 32.61, 246.57]","[155, 47, 107, 30.32, 61.77]","[77, 29, 47, 37.66, 137.48]","[97, 36, 60, 37.11, 111.77]","[54, 22, 31, 40.74, 208.5]","[3, 0, 2, 0.0, 176.33]","[66, 26, 39, 39.39, 128.12]","[58, 17, 40, 29.31, 192.47]","[82, 18, 63, 21.95, 139.23]","[40, 16, 23, 40.0, 264.48]","[67, 25, 41, 37.31, 162.69]","[87, 25, 61, 28.74, 123.08]","[62, 19, 42, 30.65, 174.66]","[78, 27, 50, 34.62, 139.47]","[95, 36, 58, 37.89, 116.54]","[37, 15, 21, 40.54, 313.19]","[25, 9, 15, 36.0, 450.2]","[47, 18, 28, 38.3, 248.4]","[105, 30, 74, 28.57, 102.25]","[56, 17, 38, 30.36, 197.16]","[93, 26, 66, 27.96, 118.34]","[120, 35, 84, 29.17, 88.92]","[31, 12, 18, 38.71, 360.48]","[43, 17, 25, 39.53, 254.33]","[70, 30, 39, 42.86, 153.2]","[130, 31, 98, 23.85, 83.34]","[40, 16, 23, 40.0, 294.88]","[61, 25, 35, 40.98, 185.18]","[138, 40, 97, 28.99, 76.07]","[31, 10, 20, 32.26, 110.19]","[43, 16, 26, 37.21, 172.56]","[82, 24, 57, 29.27, 133.22]","[79, 24, 55, 30.38, 141.59]","[62, 21, 40, 33.87, 182.06]","[73, 21, 51, 28.77, 156.25]","[77, 28, 48, 36.36, 141.23]","[123, 32, 90, 26.02, 85.52]","[100, 30, 69, 30.0, 106.53]","[35, 13, 21, 37.14, 318.29]","[74, 26, 47, 35.14, 153.88]","[68, 28, 39, 41.18, 154.78]","[58, 21, 36, 36.21, 184.91]","[61, 21, 39, 34.43, 182.51]","[95, 32, 62, 33.68, 113.92]","[126, 36, 89, 28.57, 81.91]","[53, 16, 36, 30.19, 218.74]","[159, 38, 120, 23.9, 64.42]"
"(30, 10)","[20, 7, 12, 35.0, 610.1]","[51, 19, 31, 37.25, 212.47]","[42, 17, 24, 40.48, 140.69]","[24, 9, 14, 37.5, 490.04]","[23, 8, 14, 34.78, 524.26]","[24, 10, 13, 41.67, 502.04]","[18, 9, 8, 50.0, 678.17]","[31, 8, 22, 25.81, 364.52]","[27, 10, 17, 37.04, 454.07]","[16, 6, 9, 37.5, 669.19]","[31, 14, 16, 45.16, 373.42]","[23, 11, 11, 47.83, 521.22]","[40, 19, 20, 47.5, 283.27]","[39, 10, 28, 25.64, 146.77]","[52, 15, 36, 28.85, 220.87]","[27, 12, 14, 44.44, 416.33]","[21, 7, 13, 33.33, 555.86]","[22, 10, 12, 45.45, 552.45]","[16, 3, 12, 18.75, 605.12]","[27, 9, 17, 33.33, 428.78]","[14, 7, 6, 50.0, 803.79]","[26, 12, 13, 46.15, 412.5]","[12, 4, 7, 33.33, 891.17]","[19, 4, 14, 21.05, 628.89]","[12, 5, 6, 41.67, 904.67]","[12, 5, 6, 41.67, 927.67]","[26, 12, 13, 46.15, 434.04]","[51, 17, 33, 33.33, 205.71]","[19, 10, 8, 52.63, 412.89]","[18, 5, 12, 27.78, 622.33]","[26, 9, 16, 34.62, 447.92]","[21, 7, 13, 33.33, 485.62]","[8, 2, 5, 25.0, 315.38]","[25, 10, 14, 40.0, 464.88]","[18, 8, 9, 44.44, 668.44]","[23, 10, 12, 43.48, 464.0]","[15, 6, 8, 40.0, 789.6]","[18, 5, 12, 27.78, 317.22]","[11, 6, 4, 54.55, 833.0]","[16, 5, 10, 31.25, 403.06]","[14, 5, 8, 35.71, 833.43]","[21, 6, 14, 28.57, 582.0]","[36, 13, 22, 36.11, 322.75]","[35, 12, 22, 34.29, 340.46]","[13, 6, 6, 46.15, 911.85]","[27, 12, 14, 44.44, 444.44]","[12, 5, 6, 41.67, 598.83]","[23, 9, 13, 39.13, 372.74]","[25, 11, 13, 44.0, 473.88]","[38, 13, 24, 34.21, 280.42]","[29, 10, 18, 34.48, 410.21]","[31, 8, 22, 25.81, 365.45]","[13, 6, 6, 46.15, 877.77]","[22, 7, 14, 31.82, 543.86]","[18, 6, 11, 33.33, 681.56]","[63, 21, 41, 33.33, 176.9]","[27, 12, 14, 44.44, 413.07]","[35, 14, 20, 40.0, 337.83]","[13, 5, 7, 38.46, 696.38]","[2, 0, 1, 0.0, 256.5]","[20, 10, 9, 50.0, 467.7]","[19, 6, 12, 31.58, 596.37]","[24, 4, 19, 16.67, 479.75]","[12, 6, 5, 50.0, 917.42]","[20, 9, 10, 45.0, 591.15]","[30, 9, 20, 30.0, 382.43]","[20, 7, 12, 35.0, 593.6]","[26, 11, 14, 42.31, 429.31]","[33, 14, 18, 42.42, 361.67]","[12, 6, 5, 50.0, 679.42]","[10, 4, 5, 40.0, 951.5]","[16, 6, 9, 37.5, 701.69]","[37, 11, 25, 29.73, 306.08]","[18, 6, 11, 33.33, 672.5]","[29, 7, 21, 24.14, 401.86]","[38, 12, 25, 31.58, 314.42]","[9, 4, 4, 44.44, 1069.89]","[15, 8, 6, 53.33, 787.67]","[19, 10, 8, 52.63, 616.84]","[48, 10, 37, 20.83, 248.48]","[9, 4, 4, 44.44, 1180.33]","[14, 8, 5, 57.14, 739.57]","[46, 13, 32, 28.26, 246.35]","[13, 5, 7, 38.46, 274.54]","[15, 5, 9, 33.33, 451.87]","[31, 11, 19, 35.48, 383.06]","[19, 7, 11, 36.84, 607.37]","[18, 7, 10, 38.89, 654.22]","[18, 5, 12, 27.78, 573.89]","[25, 12, 12, 48.0, 436.16]","[51, 12, 38, 23.53, 207.08]","[33, 12, 20, 36.36, 344.06]","[12, 5, 6, 41.67, 1005.42]","[22, 8, 13, 36.36, 524.55]","[25, 12, 12, 48.0, 466.4]","[14, 6, 7, 42.86, 782.36]","[13, 5, 7, 38.46, 864.23]","[29, 10, 18, 34.48, 392.1]","[55, 19, 35, 34.55, 212.73]","[19, 6, 12, 31.58, 643.58]","[72, 19, 52, 26.39, 160.97]"
