Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[177, 62, 114, 35.03, 3.73]","[146, 55, 91, 37.67, 2.28]","[73, 36, 37, 49.32, 2.63]","[156, 59, 97, 37.82, 3.12]","[155, 58, 97, 37.42, 4.2]","[162, 73, 89, 45.06, 3.35]","[165, 53, 112, 32.12, 3.78]","[155, 47, 108, 30.32, 2.91]","[166, 60, 106, 36.14, 3.64]","[157, 58, 99, 36.94, 4.18]","[169, 73, 96, 43.2, 4.22]","[152, 46, 106, 30.26, 4.69]","[153, 52, 101, 33.99, 4.04]","[87, 35, 52, 40.23, 3.03]","[151, 50, 101, 33.11, 2.68]","[176, 59, 117, 33.52, 3.4]","[148, 44, 104, 29.73, 3.71]","[162, 61, 101, 37.65, 3.62]","[154, 56, 98, 36.36, 3.66]","[158, 61, 97, 38.61, 3.3]","[145, 55, 90, 37.93, 4.29]","[170, 58, 112, 34.12, 2.64]","[175, 64, 111, 36.57, 3.93]","[155, 65, 90, 41.94, 3.61]","[158, 42, 116, 26.58, 4.32]","[171, 69, 102, 40.35, 4.34]","[157, 55, 102, 35.03, 3.44]","[162, 54, 108, 33.33, 2.36]","[122, 46, 76, 37.7, 3.59]","[161, 59, 102, 36.65, 3.71]","[142, 64, 78, 45.07, 3.74]","[151, 56, 95, 37.09, 3.43]","[40, 12, 28, 30.0, 2.52]","[169, 51, 118, 30.18, 3.22]","[142, 51, 91, 35.92, 3.97]","[157, 52, 105, 33.12, 3.04]","[163, 58, 105, 35.58, 4.15]","[71, 35, 36, 49.3, 3.75]","[145, 59, 86, 40.69, 5.79]","[106, 38, 68, 35.85, 4.04]","[169, 60, 109, 35.5, 4.43]","[163, 60, 103, 36.81, 4.46]","[151, 57, 94, 37.75, 2.66]","[161, 54, 107, 33.54, 2.95]","[164, 59, 105, 35.98, 4.41]","[160, 46, 114, 28.75, 3.09]","[109, 35, 74, 32.11, 3.66]","[127, 50, 77, 39.37, 3.12]","[167, 56, 111, 33.53, 3.38]","[149, 55, 94, 36.91, 2.67]","[175, 56, 119, 32.0, 3.43]","[169, 67, 102, 39.64, 2.98]","[159, 49, 110, 30.82, 4.19]","[152, 44, 108, 28.95, 3.41]","[161, 48, 113, 29.81, 4.44]","[141, 54, 87, 38.3, 2.45]","[161, 52, 109, 32.3, 3.07]","[164, 67, 97, 40.85, 2.96]","[160, 61, 99, 38.12, 4.34]","[5, 0, 5, 0.0, 2.2]","[132, 55, 77, 41.67, 4.35]","[159, 53, 106, 33.33, 4.33]","[162, 51, 111, 31.48, 3.92]","[177, 64, 113, 36.16, 3.97]","[155, 61, 94, 39.35, 4.49]","[165, 61, 104, 36.97, 3.35]","[161, 51, 110, 31.68, 4.22]","[172, 51, 121, 29.65, 2.8]","[176, 54, 122, 30.68, 3.03]","[154, 54, 100, 35.06, 4.45]","[148, 67, 81, 45.27, 10.43]","[159, 65, 93, 40.88, 6.52]","[158, 50, 108, 31.65, 3.66]","[165, 54, 111, 32.73, 3.47]","[153, 64, 89, 41.83, 3.5]","[152, 50, 102, 32.89, 2.78]","[170, 51, 118, 30.0, 4.69]","[164, 62, 102, 37.8, 3.76]","[174, 60, 114, 34.48, 3.3]","[139, 52, 86, 37.41, 2.84]","[174, 54, 120, 31.03, 4.12]","[175, 71, 104, 40.57, 4.88]","[154, 59, 95, 38.31, 2.71]","[49, 25, 24, 51.02, 4.43]","[110, 29, 81, 26.36, 3.39]","[155, 55, 100, 35.48, 3.36]","[162, 54, 108, 33.33, 3.42]","[163, 55, 108, 33.74, 3.49]","[170, 64, 106, 37.65, 3.82]","[171, 60, 111, 35.09, 3.35]","[135, 55, 80, 40.74, 3.19]","[174, 53, 121, 30.46, 3.3]","[153, 61, 92, 39.87, 5.05]","[154, 59, 95, 38.31, 3.24]","[165, 64, 101, 38.79, 3.88]","[157, 50, 107, 31.85, 3.01]","[161, 55, 106, 34.16, 3.46]","[169, 60, 109, 35.5, 3.0]","[149, 60, 89, 40.27, 2.7]","[152, 56, 96, 36.84, 4.09]","[140, 43, 97, 30.71, 3.29]"
"(3, 1)","[154, 47, 106, 30.52, 15.23]","[137, 54, 82, 39.42, 6.51]","[71, 30, 41, 42.25, 6.03]","[145, 52, 93, 35.86, 13.74]","[144, 55, 88, 38.19, 14.72]","[150, 58, 92, 38.67, 11.84]","[143, 43, 100, 30.07, 19.44]","[148, 43, 105, 29.05, 11.65]","[150, 54, 96, 36.0, 13.83]","[130, 52, 78, 40.0, 21.43]","[153, 60, 93, 39.22, 12.72]","[130, 44, 86, 33.85, 14.14]","[141, 52, 89, 36.88, 12.51]","[85, 35, 49, 41.18, 9.68]","[149, 49, 99, 32.89, 9.89]","[152, 48, 104, 31.58, 14.28]","[141, 41, 100, 29.08, 13.6]","[151, 52, 99, 34.44, 14.55]","[146, 41, 104, 28.08, 15.22]","[144, 50, 94, 34.72, 12.55]","[129, 43, 86, 33.33, 19.5]","[163, 47, 116, 28.83, 8.85]","[153, 46, 106, 30.07, 18.11]","[141, 51, 90, 36.17, 14.37]","[138, 38, 99, 27.54, 19.36]","[148, 50, 97, 33.78, 21.41]","[145, 48, 97, 33.1, 13.03]","[151, 46, 105, 30.46, 9.72]","[113, 47, 66, 41.59, 13.33]","[146, 48, 98, 32.88, 17.27]","[130, 62, 68, 47.69, 14.91]","[140, 44, 96, 31.43, 12.49]","[38, 8, 29, 21.05, 7.61]","[149, 43, 106, 28.86, 12.01]","[133, 44, 89, 33.08, 15.75]","[145, 41, 104, 28.28, 12.64]","[135, 47, 88, 34.81, 19.05]","[64, 32, 32, 50.0, 14.64]","[119, 48, 70, 40.34, 29.56]","[95, 28, 66, 29.47, 14.29]","[147, 49, 98, 33.33, 19.35]","[149, 46, 103, 30.87, 16.97]","[146, 53, 93, 36.3, 8.53]","[155, 54, 101, 34.84, 9.48]","[142, 46, 95, 32.39, 20.35]","[146, 38, 108, 26.03, 12.25]","[99, 28, 70, 28.28, 11.93]","[124, 44, 80, 35.48, 10.66]","[151, 49, 102, 32.45, 12.69]","[138, 48, 90, 34.78, 10.93]","[158, 50, 108, 31.65, 14.54]","[153, 52, 100, 33.99, 11.21]","[146, 43, 102, 29.45, 18.12]","[143, 36, 106, 25.17, 11.69]","[142, 45, 96, 31.69, 17.82]","[137, 45, 91, 32.85, 7.29]","[147, 40, 107, 27.21, 11.7]","[152, 61, 91, 40.13, 11.11]","[141, 50, 91, 35.46, 17.37]","[5, 0, 5, 0.0, 14.2]","[118, 45, 72, 38.14, 12.64]","[146, 47, 99, 32.19, 17.52]","[142, 37, 105, 26.06, 17.39]","[163, 44, 118, 26.99, 15.64]","[132, 51, 81, 38.64, 18.39]","[154, 55, 99, 35.71, 12.72]","[147, 46, 101, 31.29, 14.24]","[159, 43, 116, 27.04, 11.4]","[163, 48, 115, 29.45, 9.29]","[133, 46, 87, 34.59, 22.59]","[105, 41, 63, 39.05, 47.84]","[118, 51, 67, 43.22, 34.03]","[146, 54, 92, 36.99, 12.17]","[149, 44, 105, 29.53, 13.99]","[140, 52, 88, 37.14, 13.53]","[145, 44, 100, 30.34, 9.63]","[134, 37, 96, 27.61, 24.55]","[143, 53, 90, 37.06, 18.2]","[155, 55, 100, 35.48, 11.71]","[131, 47, 83, 35.88, 9.08]","[150, 48, 101, 32.0, 17.05]","[149, 54, 94, 36.24, 16.89]","[147, 49, 97, 33.33, 8.9]","[46, 24, 22, 52.17, 15.89]","[100, 26, 73, 26.0, 15.73]","[145, 56, 89, 38.62, 12.68]","[150, 56, 94, 37.33, 11.26]","[156, 49, 106, 31.41, 14.21]","[151, 50, 100, 33.11, 14.13]","[152, 47, 104, 30.92, 14.31]","[134, 40, 94, 29.85, 9.45]","[158, 44, 113, 27.85, 12.38]","[129, 44, 84, 34.11, 23.14]","[141, 43, 98, 30.5, 14.2]","[154, 54, 100, 35.06, 13.62]","[150, 46, 104, 30.67, 12.68]","[150, 50, 100, 33.33, 14.13]","[162, 51, 111, 31.48, 12.01]","[144, 59, 85, 40.97, 8.44]","[128, 37, 91, 28.91, 18.39]","[133, 39, 94, 29.32, 10.7]"
"(15, 5)","[39, 11, 27, 28.21, 243.56]","[77, 32, 44, 41.56, 79.25]","[40, 18, 21, 45.0, 59.98]","[54, 22, 31, 40.74, 149.78]","[57, 17, 39, 29.82, 160.98]","[53, 16, 36, 30.19, 166.49]","[37, 14, 23, 37.84, 261.84]","[53, 14, 38, 26.42, 159.26]","[55, 17, 38, 30.91, 160.22]","[30, 13, 16, 43.33, 317.4]","[52, 21, 30, 40.38, 162.33]","[44, 23, 20, 52.27, 188.59]","[53, 26, 26, 49.06, 154.26]","[42, 17, 24, 40.48, 88.5]","[81, 22, 58, 27.16, 83.96]","[51, 19, 32, 37.25, 175.04]","[45, 15, 29, 33.33, 195.13]","[52, 18, 33, 34.62, 166.21]","[57, 13, 43, 22.81, 144.05]","[63, 15, 48, 23.81, 126.56]","[41, 15, 25, 36.59, 234.46]","[55, 22, 33, 40.0, 145.49]","[40, 11, 28, 27.5, 250.12]","[46, 11, 34, 23.91, 191.72]","[31, 12, 18, 38.71, 314.06]","[39, 14, 24, 35.9, 255.36]","[50, 15, 34, 30.0, 157.06]","[82, 24, 57, 29.27, 82.52]","[40, 19, 21, 47.5, 159.55]","[40, 13, 26, 32.5, 221.85]","[53, 18, 34, 33.96, 154.04]","[51, 15, 35, 29.41, 168.35]","[17, 4, 12, 23.53, 92.12]","[48, 18, 30, 37.5, 180.88]","[47, 16, 30, 34.04, 178.64]","[50, 19, 31, 38.0, 170.36]","[35, 11, 23, 31.43, 271.37]","[26, 10, 15, 38.46, 159.81]","[30, 14, 15, 46.67, 326.8]","[29, 9, 19, 31.03, 183.17]","[46, 13, 32, 28.26, 203.8]","[44, 14, 29, 31.82, 201.68]","[65, 26, 38, 40.0, 111.62]","[70, 17, 53, 24.29, 107.84]","[33, 14, 18, 42.42, 285.33]","[48, 19, 28, 39.58, 183.62]","[31, 11, 19, 35.48, 205.48]","[44, 14, 29, 31.82, 151.98]","[45, 19, 25, 42.22, 198.6]","[60, 17, 42, 28.33, 122.75]","[56, 20, 36, 35.71, 159.73]","[66, 11, 54, 16.67, 119.98]","[39, 15, 23, 38.46, 244.54]","[53, 14, 38, 26.42, 161.19]","[36, 11, 24, 30.56, 265.58]","[87, 25, 61, 28.74, 60.43]","[55, 18, 37, 32.73, 144.45]","[63, 24, 38, 38.1, 119.41]","[30, 11, 18, 36.67, 312.9]","[2, 0, 2, 0.0, 243.5]","[41, 17, 23, 41.46, 164.88]","[41, 14, 26, 34.15, 218.32]","[58, 9, 48, 15.52, 146.95]","[42, 14, 27, 33.33, 228.38]","[41, 15, 25, 36.59, 222.93]","[58, 17, 40, 29.31, 139.38]","[46, 16, 29, 34.78, 188.93]","[60, 21, 38, 35.0, 139.72]","[69, 26, 42, 37.68, 109.96]","[40, 14, 25, 35.0, 243.53]","[25, 10, 14, 40.0, 413.96]","[33, 12, 20, 36.36, 297.15]","[65, 21, 43, 32.31, 107.17]","[47, 15, 31, 31.91, 187.06]","[55, 15, 39, 27.27, 134.47]","[74, 20, 53, 27.03, 93.66]","[28, 10, 17, 35.71, 358.0]","[44, 16, 27, 36.36, 211.09]","[50, 18, 31, 36.0, 191.16]","[68, 19, 48, 27.94, 87.12]","[30, 10, 19, 33.33, 345.97]","[41, 16, 24, 39.02, 221.68]","[66, 18, 47, 27.27, 101.35]","[23, 8, 14, 34.78, 108.09]","[24, 10, 13, 41.67, 265.71]","[52, 16, 35, 30.77, 160.38]","[54, 18, 35, 33.33, 161.74]","[48, 16, 31, 33.33, 189.69]","[48, 12, 35, 25.0, 194.46]","[49, 20, 28, 40.82, 184.76]","[68, 17, 51, 25.0, 105.51]","[74, 23, 50, 31.08, 97.86]","[33, 14, 18, 42.42, 272.39]","[48, 13, 34, 27.08, 166.75]","[59, 22, 36, 37.29, 143.59]","[50, 14, 35, 28.0, 178.68]","[47, 18, 28, 38.3, 192.51]","[61, 19, 41, 31.15, 138.64]","[78, 24, 53, 30.77, 83.35]","[36, 12, 24, 33.33, 260.69]","[74, 21, 52, 28.38, 80.78]"
"(30, 10)","[16, 6, 9, 37.5, 677.0]","[34, 15, 18, 44.12, 265.47]","[24, 15, 8, 62.5, 144.83]","[15, 7, 7, 46.67, 712.67]","[20, 8, 11, 40.0, 553.1]","[19, 8, 10, 42.11, 551.21]","[20, 8, 12, 40.0, 572.5]","[26, 6, 19, 23.08, 384.0]","[16, 6, 10, 37.5, 728.88]","[9, 4, 4, 44.44, 957.89]","[27, 13, 13, 48.15, 380.56]","[17, 9, 7, 52.94, 654.59]","[27, 14, 12, 51.85, 375.81]","[26, 8, 17, 30.77, 183.08]","[35, 10, 24, 28.57, 275.29]","[18, 8, 9, 44.44, 588.78]","[22, 7, 14, 31.82, 412.0]","[18, 8, 9, 44.44, 613.44]","[21, 4, 16, 19.05, 404.19]","[20, 6, 14, 30.0, 546.7]","[12, 6, 5, 50.0, 890.75]","[21, 11, 9, 52.38, 467.71]","[13, 4, 8, 30.77, 779.92]","[15, 4, 11, 26.67, 766.0]","[11, 5, 5, 45.45, 921.09]","[9, 4, 4, 44.44, 1042.67]","[22, 10, 11, 45.45, 450.5]","[36, 10, 25, 27.78, 253.78]","[17, 8, 8, 47.06, 409.88]","[11, 3, 7, 27.27, 967.64]","[18, 7, 10, 38.89, 604.11]","[17, 6, 10, 35.29, 569.65]","[10, 2, 7, 20.0, 192.7]","[17, 7, 10, 41.18, 668.59]","[21, 8, 12, 38.1, 506.19]","[21, 10, 10, 47.62, 462.76]","[13, 5, 7, 38.46, 827.23]","[13, 5, 7, 38.46, 373.85]","[10, 5, 4, 50.0, 948.6]","[10, 4, 5, 40.0, 621.9]","[17, 5, 11, 29.41, 620.0]","[17, 4, 12, 23.53, 617.47]","[28, 13, 14, 46.43, 368.04]","[34, 8, 26, 23.53, 298.38]","[9, 5, 3, 55.56, 1171.22]","[24, 9, 14, 37.5, 452.42]","[10, 4, 5, 40.0, 683.8]","[15, 6, 8, 40.0, 582.73]","[19, 8, 10, 42.11, 535.74]","[24, 8, 15, 33.33, 372.67]","[22, 9, 12, 40.91, 491.36]","[24, 5, 18, 20.83, 411.54]","[14, 6, 7, 42.86, 822.64]","[15, 4, 10, 26.67, 741.13]","[12, 4, 7, 33.33, 916.08]","[48, 17, 30, 35.42, 171.85]","[26, 11, 14, 42.31, 374.62]","[34, 12, 21, 35.29, 297.44]","[13, 5, 7, 38.46, 696.92]","[1, 0, 1, 0.0, 512.0]","[17, 9, 7, 52.94, 463.71]","[17, 6, 10, 35.29, 622.88]","[23, 3, 19, 13.04, 449.48]","[6, 4, 1, 66.67, 1626.17]","[16, 6, 9, 37.5, 694.62]","[26, 8, 17, 30.77, 391.65]","[15, 7, 7, 46.67, 710.2]","[21, 11, 9, 52.38, 490.67]","[23, 10, 12, 43.48, 433.83]","[15, 6, 8, 40.0, 721.13]","[7, 3, 3, 42.86, 1359.71]","[17, 6, 10, 35.29, 636.24]","[25, 7, 17, 28.0, 391.0]","[12, 4, 7, 33.33, 909.08]","[24, 6, 17, 25.0, 411.58]","[27, 9, 17, 33.33, 379.63]","[10, 4, 5, 40.0, 901.7]","[17, 8, 8, 47.06, 639.12]","[19, 8, 10, 42.11, 594.47]","[34, 7, 26, 20.59, 271.12]","[10, 4, 5, 40.0, 1028.4]","[10, 7, 2, 70.0, 1000.5]","[31, 10, 20, 32.26, 300.32]","[10, 3, 6, 30.0, 353.6]","[8, 4, 3, 50.0, 655.25]","[24, 9, 14, 37.5, 444.46]","[23, 8, 14, 34.78, 451.17]","[19, 7, 11, 36.84, 559.79]","[16, 3, 12, 18.75, 586.75]","[24, 10, 13, 41.67, 405.21]","[34, 9, 24, 26.47, 261.74]","[27, 10, 16, 37.04, 368.22]","[11, 5, 5, 45.45, 1014.73]","[19, 5, 13, 26.32, 550.68]","[17, 10, 6, 58.82, 664.06]","[16, 6, 9, 37.5, 640.0]","[15, 6, 8, 40.0, 702.8]","[27, 9, 17, 33.33, 368.44]","[34, 13, 20, 38.24, 285.18]","[19, 7, 12, 36.84, 585.42]","[31, 11, 19, 35.48, 288.94]"
