Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[26, 5, 21, 19.23, 4.23]","[20, 11, 9, 55.0, 2.05]","[12, 4, 8, 33.33, 3.5]","[35, 11, 24, 31.43, 3.09]","[14, 5, 9, 35.71, 4.43]","[22, 9, 13, 40.91, 5.18]","[9, 2, 7, 22.22, 3.78]","[16, 4, 12, 25.0, 3.31]","[20, 7, 13, 35.0, 4.75]","[23, 6, 17, 26.09, 4.13]","[16, 5, 11, 31.25, 5.0]","[16, 8, 8, 50.0, 4.0]","[25, 18, 7, 72.0, 3.72]","[11, 6, 5, 54.55, 1.55]","[15, 2, 13, 13.33, 2.07]","[20, 4, 16, 20.0, 3.2]","[22, 4, 18, 18.18, 3.45]","[16, 4, 12, 25.0, 2.75]","[18, 5, 13, 27.78, 5.39]","[21, 4, 17, 19.05, 4.57]","[17, 7, 10, 41.18, 6.41]","[19, 9, 10, 47.37, 3.16]","[17, 7, 10, 41.18, 4.88]","[17, 6, 11, 35.29, 4.76]","[17, 3, 14, 17.65, 5.18]","[18, 4, 14, 22.22, 4.56]","[17, 7, 10, 41.18, 4.71]","[17, 11, 6, 64.71, 3.12]","[15, 5, 10, 33.33, 4.53]","[11, 5, 6, 45.45, 3.45]","[24, 9, 15, 37.5, 4.0]","[15, 7, 8, 46.67, 3.0]","[6, 0, 6, 0.0, 2.0]","[17, 6, 11, 35.29, 4.88]","[11, 5, 6, 45.45, 2.91]","[13, 4, 9, 30.77, 3.23]","[22, 7, 15, 31.82, 5.59]","[8, 2, 6, 25.0, 4.75]","[10, 5, 5, 50.0, 8.9]","[16, 6, 10, 37.5, 4.06]","[15, 4, 11, 26.67, 3.87]","[20, 8, 12, 40.0, 7.35]","[19, 4, 15, 21.05, 3.84]","[25, 7, 18, 28.0, 2.96]","[12, 3, 9, 25.0, 8.75]","[25, 9, 16, 36.0, 4.08]","[12, 4, 8, 33.33, 3.58]","[24, 10, 14, 41.67, 4.29]","[16, 7, 9, 43.75, 3.31]","[19, 4, 15, 21.05, 3.89]","[10, 4, 6, 40.0, 3.8]","[28, 10, 18, 35.71, 3.32]","[27, 12, 15, 44.44, 3.78]","[27, 6, 21, 22.22, 5.0]","[12, 3, 9, 25.0, 5.08]","[18, 6, 12, 33.33, 2.67]","[16, 7, 9, 43.75, 4.38]","[17, 8, 9, 47.06, 4.24]","[16, 3, 13, 18.75, 3.81]","[0, 0, 0, 0, 0]","[9, 4, 5, 44.44, 4.44]","[15, 4, 11, 26.67, 5.2]","[18, 5, 13, 27.78, 5.11]","[25, 9, 16, 36.0, 3.72]","[22, 10, 12, 45.45, 6.14]","[16, 7, 9, 43.75, 6.06]","[11, 2, 9, 18.18, 2.73]","[20, 6, 14, 30.0, 3.8]","[27, 12, 15, 44.44, 3.48]","[17, 8, 9, 47.06, 6.12]","[12, 7, 5, 58.33, 15.92]","[14, 5, 9, 35.71, 11.43]","[22, 14, 8, 63.64, 2.23]","[16, 2, 14, 12.5, 6.5]","[20, 8, 12, 40.0, 6.2]","[19, 6, 13, 31.58, 2.84]","[11, 4, 7, 36.36, 2.27]","[16, 4, 12, 25.0, 6.06]","[24, 6, 18, 25.0, 2.83]","[22, 14, 8, 63.64, 2.41]","[18, 5, 13, 27.78, 3.44]","[17, 5, 12, 29.41, 7.12]","[28, 11, 17, 39.29, 3.07]","[5, 1, 4, 20.0, 3.4]","[18, 10, 8, 55.56, 4.89]","[19, 6, 13, 31.58, 5.0]","[28, 10, 18, 35.71, 4.14]","[12, 4, 8, 33.33, 2.25]","[28, 12, 16, 42.86, 4.18]","[14, 6, 8, 42.86, 4.36]","[21, 7, 14, 33.33, 3.62]","[20, 10, 10, 50.0, 3.8]","[14, 5, 9, 35.71, 9.64]","[14, 8, 6, 57.14, 4.86]","[15, 6, 9, 40.0, 5.6]","[22, 9, 13, 40.91, 3.68]","[18, 5, 13, 27.78, 3.72]","[14, 7, 7, 50.0, 3.79]","[21, 8, 13, 38.1, 2.71]","[13, 4, 9, 30.77, 5.85]","[17, 7, 10, 41.18, 3.94]"
"(3, 1)","[24, 11, 13, 45.83, 23.25]","[17, 6, 11, 35.29, 7.41]","[11, 2, 9, 18.18, 6.36]","[30, 8, 22, 26.67, 14.3]","[14, 4, 10, 28.57, 10.71]","[21, 8, 13, 38.1, 18.19]","[9, 1, 8, 11.11, 24.11]","[14, 5, 9, 35.71, 18.36]","[18, 6, 12, 33.33, 16.83]","[21, 3, 18, 14.29, 20.81]","[15, 6, 9, 40.0, 15.6]","[16, 5, 11, 31.25, 20.44]","[21, 10, 11, 47.62, 21.24]","[11, 3, 8, 27.27, 14.18]","[14, 3, 11, 21.43, 6.07]","[18, 5, 13, 27.78, 12.0]","[20, 3, 17, 15.0, 11.05]","[15, 5, 10, 33.33, 16.6]","[16, 5, 11, 31.25, 16.19]","[21, 6, 15, 28.57, 17.33]","[15, 4, 11, 26.67, 23.27]","[17, 10, 7, 58.82, 15.94]","[16, 7, 9, 43.75, 22.94]","[17, 7, 10, 41.18, 20.59]","[16, 4, 12, 25.0, 24.38]","[17, 1, 16, 5.88, 16.29]","[15, 6, 9, 40.0, 15.93]","[17, 6, 11, 35.29, 11.29]","[13, 2, 11, 15.38, 14.77]","[10, 5, 5, 50.0, 21.5]","[21, 7, 14, 33.33, 17.14]","[15, 5, 10, 33.33, 13.4]","[6, 1, 5, 16.67, 13.5]","[16, 4, 12, 25.0, 11.19]","[10, 5, 5, 50.0, 19.6]","[12, 3, 9, 25.0, 11.08]","[22, 7, 15, 31.82, 18.91]","[7, 2, 5, 28.57, 33.43]","[10, 4, 6, 40.0, 30.6]","[14, 1, 13, 7.14, 23.29]","[13, 2, 11, 15.38, 21.23]","[19, 3, 16, 15.79, 20.68]","[16, 4, 12, 25.0, 11.75]","[23, 8, 15, 34.78, 10.35]","[11, 1, 10, 9.09, 20.55]","[22, 9, 13, 40.91, 19.68]","[12, 5, 7, 41.67, 11.92]","[20, 7, 13, 35.0, 10.3]","[14, 5, 9, 35.71, 13.79]","[18, 4, 14, 22.22, 18.39]","[10, 2, 8, 20.0, 21.6]","[24, 9, 15, 37.5, 17.88]","[23, 9, 14, 39.13, 24.7]","[26, 9, 17, 34.62, 19.19]","[11, 3, 8, 27.27, 19.18]","[16, 4, 12, 25.0, 8.06]","[16, 3, 13, 18.75, 17.0]","[16, 5, 11, 31.25, 17.62]","[14, 3, 11, 21.43, 16.79]","[0, 0, 0, 0, 0]","[9, 2, 7, 22.22, 19.67]","[15, 4, 11, 26.67, 18.67]","[17, 6, 11, 35.29, 29.24]","[22, 9, 13, 40.91, 20.45]","[19, 11, 8, 57.89, 24.11]","[15, 4, 11, 26.67, 18.4]","[11, 0, 11, 0.0, 15.0]","[18, 4, 14, 22.22, 10.67]","[26, 11, 15, 42.31, 18.54]","[15, 6, 9, 40.0, 35.6]","[12, 3, 9, 25.0, 43.5]","[14, 5, 9, 35.71, 40.71]","[21, 10, 11, 47.62, 7.48]","[16, 4, 12, 25.0, 15.25]","[17, 7, 10, 41.18, 19.35]","[19, 4, 15, 21.05, 11.63]","[11, 2, 9, 18.18, 16.18]","[16, 5, 11, 31.25, 21.38]","[19, 5, 14, 26.32, 15.37]","[18, 8, 10, 44.44, 11.0]","[17, 5, 12, 29.41, 15.76]","[16, 7, 9, 43.75, 27.25]","[26, 7, 19, 26.92, 9.08]","[5, 1, 4, 20.0, 10.0]","[17, 6, 11, 35.29, 20.35]","[16, 5, 11, 31.25, 15.88]","[26, 7, 19, 26.92, 16.62]","[11, 2, 9, 18.18, 11.64]","[25, 9, 16, 36.0, 19.08]","[12, 5, 7, 41.67, 12.0]","[20, 3, 17, 15.0, 8.85]","[20, 10, 10, 50.0, 19.0]","[12, 6, 6, 50.0, 41.83]","[12, 9, 3, 75.0, 22.08]","[13, 4, 9, 30.77, 18.15]","[20, 5, 15, 25.0, 16.35]","[17, 5, 12, 29.41, 21.0]","[14, 5, 9, 35.71, 11.93]","[19, 9, 10, 47.37, 14.95]","[13, 4, 9, 30.77, 19.85]","[16, 4, 11, 25.0, 9.56]"
"(15, 5)","[19, 5, 14, 26.32, 272.42]","[12, 3, 9, 25.0, 124.25]","[9, 4, 4, 44.44, 61.78]","[22, 8, 14, 36.36, 192.77]","[11, 2, 9, 18.18, 166.18]","[15, 4, 10, 26.67, 146.87]","[9, 4, 5, 44.44, 237.33]","[11, 3, 8, 27.27, 232.27]","[16, 4, 12, 25.0, 298.56]","[11, 4, 7, 36.36, 444.55]","[13, 6, 7, 46.15, 145.85]","[13, 6, 7, 46.15, 296.54]","[14, 6, 7, 42.86, 137.36]","[9, 2, 7, 22.22, 151.56]","[13, 1, 11, 7.69, 133.54]","[12, 6, 6, 50.0, 216.17]","[17, 5, 11, 29.41, 218.18]","[11, 3, 8, 27.27, 287.73]","[15, 4, 11, 26.67, 211.8]","[15, 5, 10, 33.33, 226.4]","[14, 4, 10, 28.57, 239.64]","[13, 6, 7, 46.15, 316.0]","[11, 4, 6, 36.36, 296.09]","[14, 3, 11, 21.43, 241.93]","[11, 3, 8, 27.27, 566.91]","[16, 3, 13, 18.75, 355.56]","[13, 3, 9, 23.08, 197.46]","[16, 4, 12, 25.0, 58.69]","[10, 4, 6, 40.0, 221.6]","[7, 2, 5, 28.57, 269.71]","[19, 6, 13, 31.58, 225.53]","[12, 7, 5, 58.33, 223.5]","[5, 0, 5, 0.0, 88.4]","[14, 4, 10, 28.57, 215.29]","[9, 3, 6, 33.33, 144.89]","[12, 4, 8, 33.33, 174.5]","[13, 6, 7, 46.15, 496.62]","[7, 1, 6, 14.29, 170.71]","[8, 3, 4, 37.5, 571.12]","[10, 2, 8, 20.0, 279.2]","[13, 2, 11, 15.38, 196.85]","[16, 5, 11, 31.25, 230.56]","[12, 8, 4, 66.67, 170.08]","[20, 8, 12, 40.0, 127.1]","[8, 2, 6, 25.0, 364.75]","[15, 6, 9, 40.0, 322.0]","[7, 2, 5, 28.57, 370.57]","[15, 6, 9, 40.0, 211.87]","[12, 4, 8, 33.33, 227.25]","[16, 4, 12, 25.0, 150.62]","[9, 2, 7, 22.22, 172.78]","[18, 4, 14, 22.22, 168.11]","[16, 9, 6, 56.25, 451.38]","[17, 6, 10, 35.29, 277.53]","[8, 5, 3, 62.5, 667.75]","[14, 2, 12, 14.29, 91.71]","[16, 6, 9, 37.5, 137.25]","[15, 6, 9, 40.0, 198.53]","[12, 4, 7, 33.33, 375.33]","[0, 0, 0, 0, 0]","[7, 2, 5, 28.57, 259.29]","[10, 3, 7, 30.0, 475.2]","[13, 1, 11, 7.69, 240.85]","[14, 4, 9, 28.57, 512.29]","[17, 8, 9, 47.06, 271.71]","[14, 5, 9, 35.71, 108.64]","[11, 3, 8, 27.27, 257.36]","[15, 5, 10, 33.33, 214.2]","[20, 9, 11, 45.0, 180.35]","[12, 6, 6, 50.0, 373.83]","[8, 3, 4, 37.5, 720.0]","[12, 5, 6, 41.67, 567.42]","[15, 6, 9, 40.0, 160.2]","[11, 2, 9, 18.18, 496.09]","[12, 5, 7, 41.67, 264.83]","[17, 3, 14, 17.65, 91.35]","[8, 4, 4, 50.0, 448.38]","[12, 6, 6, 50.0, 384.17]","[16, 5, 11, 31.25, 134.69]","[15, 3, 11, 20.0, 149.07]","[12, 4, 8, 33.33, 554.42]","[12, 8, 4, 66.67, 375.75]","[22, 8, 14, 36.36, 116.55]","[4, 0, 4, 0.0, 51.0]","[10, 4, 6, 40.0, 507.0]","[14, 1, 13, 7.14, 135.64]","[22, 6, 16, 27.27, 207.41]","[10, 4, 6, 40.0, 218.3]","[17, 5, 12, 29.41, 201.88]","[12, 3, 9, 25.0, 164.0]","[17, 5, 12, 29.41, 119.24]","[16, 7, 9, 43.75, 206.12]","[9, 4, 5, 44.44, 531.78]","[9, 6, 3, 66.67, 362.56]","[11, 3, 8, 27.27, 248.73]","[18, 5, 12, 27.78, 226.67]","[15, 3, 11, 20.0, 180.47]","[12, 1, 11, 8.33, 167.42]","[16, 5, 11, 31.25, 110.06]","[11, 3, 8, 27.27, 312.45]","[15, 7, 7, 46.67, 135.6]"
"(30, 10)","[11, 5, 6, 45.45, 895.0]","[11, 4, 7, 36.36, 261.73]","[8, 3, 4, 37.5, 156.5]","[14, 5, 9, 35.71, 568.0]","[5, 3, 2, 60.0, 1387.4]","[11, 3, 7, 27.27, 627.91]","[7, 4, 3, 57.14, 801.14]","[7, 1, 5, 14.29, 684.14]","[11, 5, 6, 45.45, 994.18]","[7, 2, 4, 28.57, 1346.86]","[10, 6, 4, 60.0, 523.0]","[10, 5, 5, 50.0, 849.0]","[11, 4, 6, 36.36, 498.91]","[5, 0, 5, 0.0, 585.0]","[12, 2, 9, 16.67, 373.75]","[6, 3, 2, 50.0, 1286.33]","[14, 3, 10, 21.43, 437.71]","[9, 2, 7, 22.22, 680.78]","[10, 2, 7, 20.0, 685.2]","[7, 2, 5, 28.57, 1339.29]","[9, 4, 5, 44.44, 1016.33]","[10, 5, 4, 50.0, 758.6]","[10, 2, 7, 20.0, 744.3]","[9, 3, 6, 33.33, 979.67]","[6, 1, 4, 16.67, 959.33]","[7, 2, 5, 28.57, 1535.71]","[10, 5, 4, 50.0, 578.1]","[13, 5, 8, 38.46, 271.85]","[9, 4, 5, 44.44, 598.11]","[7, 0, 6, 0.0, 639.86]","[12, 5, 6, 41.67, 727.5]","[8, 5, 3, 62.5, 1088.5]","[4, 1, 3, 25.0, 316.5]","[9, 4, 5, 44.44, 740.11]","[8, 4, 4, 50.0, 430.75]","[10, 3, 7, 30.0, 470.1]","[6, 3, 3, 50.0, 1961.33]","[7, 1, 6, 14.29, 312.57]","[6, 3, 2, 50.0, 1553.5]","[5, 1, 4, 20.0, 1106.4]","[8, 2, 5, 25.0, 1124.5]","[12, 2, 10, 16.67, 527.42]","[12, 6, 6, 50.0, 482.0]","[14, 5, 9, 35.71, 524.79]","[7, 3, 4, 42.86, 1086.29]","[12, 3, 9, 25.0, 643.25]","[5, 1, 4, 20.0, 946.8]","[11, 3, 7, 27.27, 377.18]","[7, 4, 2, 57.14, 743.57]","[14, 3, 11, 21.43, 348.64]","[7, 1, 6, 14.29, 534.57]","[16, 4, 11, 25.0, 342.44]","[10, 5, 4, 50.0, 1001.2]","[10, 2, 7, 20.0, 953.3]","[4, 2, 2, 50.0, 2377.25]","[13, 2, 10, 15.38, 206.92]","[12, 6, 5, 50.0, 399.33]","[12, 5, 6, 41.67, 477.17]","[7, 4, 2, 57.14, 1216.0]","[0, 0, 0, 0, 0]","[5, 2, 2, 40.0, 559.4]","[7, 2, 4, 28.57, 782.86]","[10, 0, 9, 0.0, 747.8]","[9, 4, 4, 44.44, 1234.0]","[8, 5, 3, 62.5, 1447.0]","[11, 3, 7, 27.27, 489.82]","[7, 4, 3, 57.14, 1008.43]","[11, 4, 6, 36.36, 614.73]","[11, 5, 6, 45.45, 732.82]","[7, 5, 2, 71.43, 2044.57]","[5, 2, 2, 40.0, 1950.0]","[7, 3, 3, 42.86, 1314.14]","[10, 4, 5, 40.0, 663.1]","[8, 3, 5, 37.5, 1377.25]","[8, 1, 6, 12.5, 986.25]","[12, 4, 8, 33.33, 586.17]","[4, 3, 1, 75.0, 2216.5]","[7, 5, 2, 71.43, 1353.0]","[10, 5, 5, 50.0, 803.1]","[12, 0, 11, 0.0, 263.67]","[6, 2, 4, 33.33, 1679.0]","[7, 5, 2, 71.43, 1141.14]","[18, 6, 11, 33.33, 306.11]","[4, 1, 3, 25.0, 194.25]","[7, 2, 4, 28.57, 800.29]","[8, 3, 5, 37.5, 834.5]","[13, 4, 8, 30.77, 849.62]","[6, 3, 3, 50.0, 1406.0]","[10, 2, 7, 20.0, 457.8]","[10, 3, 6, 30.0, 324.4]","[12, 2, 10, 16.67, 407.75]","[12, 4, 8, 33.33, 508.5]","[5, 1, 3, 20.0, 1382.2]","[7, 3, 4, 42.86, 1117.14]","[8, 3, 5, 37.5, 625.75]","[8, 3, 4, 37.5, 922.25]","[12, 2, 9, 16.67, 650.5]","[11, 1, 10, 9.09, 437.45]","[12, 2, 9, 16.67, 405.67]","[8, 3, 5, 37.5, 724.62]","[12, 5, 6, 41.67, 479.5]"
