Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[31, 10, 21, 32.26, 1.23]","[26, 13, 13, 50.0, 1.38]","[7, 1, 6, 14.29, 1.0]","[32, 16, 16, 50.0, 1.34]","[32, 14, 18, 43.75, 1.25]","[33, 14, 19, 42.42, 1.24]","[22, 10, 12, 45.45, 1.64]","[52, 22, 30, 42.31, 1.21]","[31, 12, 19, 38.71, 1.39]","[37, 14, 23, 37.84, 1.81]","[27, 13, 14, 48.15, 1.37]","[29, 11, 18, 37.93, 1.41]","[26, 16, 10, 61.54, 1.19]","[19, 10, 9, 52.63, 1.16]","[50, 24, 26, 48.0, 1.14]","[34, 17, 17, 50.0, 1.29]","[29, 13, 16, 44.83, 1.41]","[29, 13, 16, 44.83, 1.21]","[49, 22, 27, 44.9, 1.51]","[36, 17, 19, 47.22, 1.42]","[38, 17, 21, 44.74, 1.26]","[38, 18, 20, 47.37, 1.29]","[47, 21, 26, 44.68, 1.3]","[41, 19, 22, 46.34, 1.32]","[33, 11, 22, 33.33, 1.52]","[31, 11, 20, 35.48, 1.61]","[28, 9, 19, 32.14, 1.32]","[43, 22, 21, 51.16, 1.14]","[22, 9, 13, 40.91, 1.14]","[42, 20, 22, 47.62, 1.43]","[39, 20, 19, 51.28, 1.38]","[34, 16, 18, 47.06, 1.38]","[8, 2, 6, 25.0, 1.38]","[27, 17, 10, 62.96, 1.19]","[35, 14, 21, 40.0, 1.34]","[21, 9, 11, 42.86, 1.1]","[25, 14, 11, 56.0, 1.48]","[20, 9, 11, 45.0, 1.35]","[20, 10, 10, 50.0, 1.6]","[23, 14, 9, 60.87, 1.52]","[18, 9, 9, 50.0, 1.44]","[37, 15, 22, 40.54, 1.43]","[32, 10, 22, 31.25, 1.22]","[41, 20, 21, 48.78, 1.24]","[33, 12, 21, 36.36, 1.48]","[34, 19, 15, 55.88, 1.26]","[20, 12, 8, 60.0, 1.15]","[27, 12, 15, 44.44, 1.48]","[35, 16, 19, 45.71, 1.43]","[34, 16, 18, 47.06, 1.32]","[27, 14, 13, 51.85, 1.3]","[37, 21, 16, 56.76, 1.49]","[32, 18, 14, 56.25, 1.44]","[33, 14, 19, 42.42, 1.45]","[22, 13, 9, 59.09, 1.59]","[33, 16, 17, 48.48, 1.12]","[30, 18, 12, 60.0, 1.2]","[32, 19, 13, 59.38, 1.28]","[28, 15, 13, 53.57, 1.71]","[0, 0, 0, 0, 0]","[17, 8, 9, 47.06, 1.18]","[40, 17, 23, 42.5, 1.43]","[46, 15, 31, 32.61, 1.39]","[29, 14, 15, 48.28, 1.34]","[37, 23, 14, 62.16, 1.54]","[31, 14, 17, 45.16, 1.35]","[28, 11, 17, 39.29, 1.43]","[35, 17, 18, 48.57, 1.51]","[26, 10, 16, 38.46, 1.27]","[30, 15, 15, 50.0, 1.7]","[33, 16, 17, 48.48, 1.76]","[34, 17, 17, 50.0, 1.53]","[37, 17, 20, 45.95, 1.3]","[37, 21, 16, 56.76, 1.68]","[28, 16, 12, 57.14, 1.32]","[41, 14, 27, 34.15, 1.24]","[27, 20, 7, 74.07, 1.52]","[23, 12, 11, 52.17, 1.39]","[37, 14, 23, 37.84, 1.24]","[52, 25, 27, 48.08, 1.29]","[21, 12, 9, 57.14, 1.33]","[22, 9, 13, 40.91, 1.27]","[37, 13, 24, 35.14, 1.22]","[13, 9, 4, 69.23, 1.31]","[19, 7, 12, 36.84, 1.42]","[35, 11, 24, 31.43, 1.51]","[35, 12, 23, 34.29, 1.54]","[38, 24, 14, 63.16, 1.53]","[34, 16, 18, 47.06, 1.24]","[31, 14, 17, 45.16, 1.1]","[42, 20, 22, 47.62, 1.29]","[33, 17, 16, 51.52, 1.3]","[31, 16, 15, 51.61, 1.39]","[33, 15, 18, 45.45, 1.52]","[33, 12, 21, 36.36, 1.42]","[29, 15, 14, 51.72, 1.28]","[38, 19, 19, 50.0, 1.32]","[35, 15, 20, 42.86, 1.11]","[33, 12, 21, 36.36, 1.24]","[38, 14, 24, 36.84, 1.37]","[46, 25, 21, 54.35, 1.22]"
"(3, 1)","[29, 10, 19, 34.48, 2.83]","[23, 4, 19, 17.39, 2.7]","[7, 2, 5, 28.57, 1.57]","[30, 12, 18, 40.0, 2.73]","[32, 16, 16, 50.0, 2.56]","[33, 15, 18, 45.45, 2.45]","[21, 10, 11, 47.62, 3.76]","[48, 17, 31, 35.42, 2.73]","[29, 8, 21, 27.59, 2.41]","[33, 10, 23, 30.3, 4.24]","[26, 9, 17, 34.62, 1.92]","[27, 9, 18, 33.33, 2.41]","[24, 14, 10, 58.33, 1.92]","[18, 9, 9, 50.0, 2.17]","[45, 18, 27, 40.0, 1.87]","[31, 12, 19, 38.71, 2.32]","[27, 10, 17, 37.04, 3.19]","[27, 12, 15, 44.44, 2.48]","[45, 17, 28, 37.78, 3.09]","[36, 17, 19, 47.22, 2.72]","[35, 14, 21, 40.0, 3.57]","[36, 13, 23, 36.11, 2.0]","[40, 15, 25, 37.5, 3.02]","[35, 9, 26, 25.71, 3.71]","[31, 10, 21, 32.26, 4.29]","[30, 11, 19, 36.67, 2.9]","[27, 9, 18, 33.33, 2.48]","[37, 19, 18, 51.35, 2.27]","[22, 11, 11, 50.0, 1.68]","[36, 15, 21, 41.67, 3.19]","[39, 19, 20, 48.72, 2.18]","[31, 13, 18, 41.94, 2.9]","[8, 4, 4, 50.0, 2.62]","[25, 10, 15, 40.0, 3.0]","[32, 10, 22, 31.25, 2.69]","[20, 9, 10, 45.0, 2.16]","[21, 7, 14, 33.33, 3.95]","[19, 4, 15, 21.05, 3.95]","[18, 10, 8, 55.56, 7.83]","[19, 10, 9, 52.63, 3.42]","[17, 8, 9, 47.06, 2.41]","[32, 14, 18, 43.75, 2.78]","[29, 10, 19, 34.48, 1.79]","[35, 15, 20, 42.86, 2.31]","[29, 10, 19, 34.48, 4.52]","[32, 17, 15, 53.12, 2.16]","[18, 9, 9, 50.0, 2.61]","[25, 11, 14, 44.0, 2.92]","[32, 13, 19, 40.62, 3.09]","[30, 15, 15, 50.0, 2.7]","[24, 8, 16, 33.33, 2.0]","[33, 14, 19, 42.42, 3.24]","[28, 13, 15, 46.43, 3.93]","[31, 9, 22, 29.03, 3.77]","[19, 9, 10, 47.37, 3.32]","[31, 16, 15, 51.61, 1.9]","[29, 18, 11, 62.07, 2.03]","[29, 13, 16, 44.83, 2.14]","[28, 15, 13, 53.57, 3.64]","[0, 0, 0, 0, 0]","[17, 8, 9, 47.06, 1.65]","[37, 11, 26, 29.73, 3.49]","[44, 14, 30, 31.82, 2.68]","[26, 10, 16, 38.46, 2.69]","[34, 13, 21, 38.24, 3.21]","[30, 8, 22, 26.67, 3.27]","[27, 10, 17, 37.04, 4.63]","[32, 12, 20, 37.5, 3.84]","[24, 7, 17, 29.17, 1.79]","[25, 9, 16, 36.0, 4.08]","[28, 13, 15, 46.43, 5.32]","[31, 12, 19, 38.71, 4.0]","[32, 10, 22, 31.25, 2.38]","[36, 13, 23, 36.11, 4.19]","[26, 13, 13, 50.0, 4.08]","[40, 11, 29, 27.5, 1.77]","[25, 16, 8, 64.0, 4.56]","[19, 9, 10, 47.37, 2.53]","[33, 11, 22, 33.33, 2.58]","[50, 22, 28, 44.0, 2.0]","[17, 4, 13, 23.53, 4.35]","[21, 11, 10, 52.38, 3.76]","[35, 11, 24, 31.43, 1.63]","[13, 8, 5, 61.54, 2.23]","[18, 8, 10, 44.44, 2.94]","[34, 10, 24, 29.41, 2.38]","[33, 11, 22, 33.33, 2.64]","[32, 14, 18, 43.75, 3.28]","[32, 14, 18, 43.75, 2.97]","[30, 17, 13, 56.67, 2.57]","[40, 15, 25, 37.5, 2.27]","[32, 15, 17, 46.88, 1.78]","[25, 8, 17, 32.0, 3.96]","[31, 13, 18, 41.94, 3.0]","[32, 12, 20, 37.5, 2.56]","[26, 17, 9, 65.38, 2.69]","[35, 14, 21, 40.0, 3.06]","[32, 10, 22, 31.25, 2.22]","[28, 6, 22, 21.43, 2.11]","[34, 12, 22, 35.29, 3.62]","[41, 19, 22, 46.34, 2.2]"
"(15, 5)","[16, 6, 10, 37.5, 26.56]","[20, 2, 18, 10.0, 8.35]","[7, 3, 3, 42.86, 10.57]","[24, 8, 16, 33.33, 22.21]","[17, 7, 10, 41.18, 28.24]","[20, 5, 15, 25.0, 29.5]","[14, 6, 8, 42.86, 37.5]","[34, 9, 24, 26.47, 14.91]","[20, 6, 14, 30.0, 18.8]","[17, 5, 12, 29.41, 32.59]","[16, 3, 13, 18.75, 14.0]","[19, 10, 9, 52.63, 26.05]","[19, 7, 12, 36.84, 17.26]","[16, 7, 8, 43.75, 12.94]","[31, 7, 24, 22.58, 14.35]","[20, 8, 12, 40.0, 34.25]","[20, 7, 13, 35.0, 28.0]","[17, 8, 9, 47.06, 25.88]","[29, 5, 23, 17.24, 21.38]","[24, 10, 14, 41.67, 23.46]","[20, 6, 14, 30.0, 42.1]","[25, 11, 14, 44.0, 15.96]","[22, 8, 14, 36.36, 44.23]","[21, 6, 14, 28.57, 40.29]","[14, 6, 8, 42.86, 58.14]","[18, 7, 11, 38.89, 43.28]","[15, 3, 11, 20.0, 26.4]","[30, 9, 20, 30.0, 13.6]","[16, 7, 9, 43.75, 13.56]","[25, 10, 14, 40.0, 36.28]","[26, 12, 14, 46.15, 25.5]","[22, 7, 14, 31.82, 18.14]","[5, 0, 5, 0.0, 7.6]","[17, 8, 9, 47.06, 20.59]","[21, 8, 13, 38.1, 22.71]","[15, 8, 6, 53.33, 27.71]","[13, 6, 7, 46.15, 48.92]","[11, 3, 7, 27.27, 23.36]","[12, 5, 6, 41.67, 31.67]","[14, 4, 9, 28.57, 24.93]","[13, 3, 9, 23.08, 20.46]","[21, 5, 15, 23.81, 36.19]","[24, 10, 13, 41.67, 16.33]","[25, 8, 17, 32.0, 19.84]","[17, 9, 7, 52.94, 42.71]","[21, 10, 11, 47.62, 20.81]","[12, 6, 5, 50.0, 35.08]","[20, 7, 13, 35.0, 20.6]","[23, 8, 15, 34.78, 20.0]","[22, 6, 16, 27.27, 17.14]","[20, 6, 14, 30.0, 13.1]","[22, 6, 15, 27.27, 26.55]","[18, 7, 10, 38.89, 31.89]","[21, 8, 13, 38.1, 25.05]","[13, 4, 9, 30.77, 50.23]","[24, 6, 18, 25.0, 9.96]","[21, 8, 12, 38.1, 22.81]","[19, 6, 13, 31.58, 18.63]","[17, 7, 9, 41.18, 39.35]","[0, 0, 0, 0, 0]","[14, 5, 8, 35.71, 11.93]","[22, 8, 13, 36.36, 28.95]","[26, 4, 22, 15.38, 23.92]","[12, 4, 8, 33.33, 44.83]","[18, 6, 12, 33.33, 34.61]","[22, 7, 15, 31.82, 18.68]","[17, 4, 13, 23.53, 26.12]","[22, 9, 12, 40.91, 17.5]","[18, 6, 11, 33.33, 22.5]","[16, 7, 8, 43.75, 38.62]","[15, 7, 7, 46.67, 65.47]","[19, 7, 12, 36.84, 28.16]","[27, 9, 18, 33.33, 18.67]","[21, 8, 13, 38.1, 29.81]","[18, 2, 15, 11.11, 21.44]","[27, 8, 19, 29.63, 18.41]","[14, 8, 5, 57.14, 74.07]","[15, 8, 6, 53.33, 33.87]","[21, 6, 15, 28.57, 28.81]","[37, 11, 26, 29.73, 13.51]","[10, 4, 5, 40.0, 48.2]","[14, 6, 7, 42.86, 41.64]","[26, 8, 17, 30.77, 14.38]","[9, 3, 5, 33.33, 21.0]","[10, 2, 8, 20.0, 32.1]","[23, 2, 21, 8.7, 13.22]","[22, 5, 17, 22.73, 24.09]","[18, 8, 10, 44.44, 31.06]","[20, 7, 13, 35.0, 25.2]","[21, 7, 13, 33.33, 21.19]","[31, 7, 23, 22.58, 14.45]","[24, 6, 17, 25.0, 14.75]","[16, 7, 8, 43.75, 36.44]","[22, 7, 15, 31.82, 23.59]","[24, 11, 13, 45.83, 20.17]","[16, 7, 8, 43.75, 36.56]","[21, 8, 13, 38.1, 31.95]","[22, 7, 14, 31.82, 18.23]","[23, 2, 21, 8.7, 11.74]","[18, 4, 13, 22.22, 37.44]","[33, 14, 19, 42.42, 16.24]"
"(30, 10)","[12, 6, 5, 50.0, 89.92]","[14, 4, 10, 28.57, 31.86]","[6, 3, 2, 50.0, 24.67]","[13, 4, 9, 30.77, 60.0]","[12, 5, 7, 41.67, 95.08]","[11, 4, 7, 36.36, 86.82]","[9, 5, 4, 55.56, 122.11]","[17, 3, 13, 17.65, 66.06]","[12, 5, 7, 41.67, 79.17]","[6, 1, 4, 16.67, 172.83]","[14, 7, 7, 50.0, 45.79]","[10, 6, 4, 60.0, 92.9]","[13, 5, 8, 38.46, 48.62]","[9, 1, 7, 11.11, 25.22]","[21, 7, 14, 33.33, 44.62]","[11, 4, 6, 36.36, 86.0]","[13, 5, 7, 38.46, 65.0]","[12, 5, 7, 41.67, 79.0]","[16, 4, 11, 25.0, 71.38]","[15, 6, 8, 40.0, 62.53]","[12, 4, 7, 33.33, 80.58]","[17, 7, 9, 41.18, 39.41]","[9, 2, 6, 22.22, 111.11]","[12, 2, 9, 16.67, 95.83]","[6, 3, 2, 50.0, 149.67]","[9, 4, 4, 44.44, 128.44]","[12, 4, 7, 33.33, 52.92]","[18, 5, 12, 27.78, 34.61]","[8, 5, 3, 62.5, 88.0]","[10, 4, 5, 40.0, 122.4]","[11, 5, 6, 45.45, 121.18]","[14, 4, 9, 28.57, 66.07]","[4, 0, 3, 0.0, 20.25]","[10, 5, 5, 50.0, 78.6]","[12, 4, 8, 33.33, 77.67]","[12, 6, 5, 50.0, 58.17]","[6, 3, 2, 50.0, 183.67]","[7, 1, 5, 14.29, 40.57]","[8, 3, 4, 37.5, 89.5]","[8, 1, 6, 12.5, 53.75]","[9, 3, 5, 33.33, 96.44]","[11, 2, 8, 18.18, 106.0]","[16, 7, 8, 43.75, 47.88]","[15, 5, 9, 33.33, 56.8]","[6, 4, 1, 66.67, 185.5]","[10, 4, 5, 40.0, 76.2]","[8, 4, 3, 50.0, 73.62]","[12, 3, 8, 25.0, 64.92]","[16, 6, 9, 37.5, 43.38]","[15, 4, 10, 26.67, 38.2]","[14, 5, 9, 35.71, 49.43]","[15, 2, 13, 13.33, 57.2]","[9, 4, 4, 44.44, 131.56]","[13, 5, 7, 38.46, 80.0]","[7, 3, 4, 42.86, 145.14]","[19, 5, 14, 26.32, 28.58]","[13, 6, 6, 46.15, 64.69]","[14, 5, 9, 35.71, 46.21]","[7, 4, 2, 57.14, 116.43]","[0, 0, 0, 0, 0]","[9, 3, 5, 33.33, 51.44]","[13, 5, 7, 38.46, 79.46]","[14, 2, 11, 14.29, 79.0]","[9, 3, 5, 33.33, 95.11]","[12, 5, 7, 41.67, 83.42]","[12, 3, 8, 25.0, 65.92]","[9, 3, 6, 33.33, 104.89]","[12, 5, 7, 41.67, 78.25]","[11, 5, 5, 45.45, 86.09]","[8, 5, 2, 62.5, 80.75]","[8, 3, 4, 37.5, 131.25]","[12, 6, 5, 50.0, 88.5]","[16, 6, 9, 37.5, 50.0]","[8, 4, 4, 50.0, 142.88]","[13, 1, 11, 7.69, 56.46]","[24, 8, 15, 33.33, 37.79]","[5, 3, 1, 60.0, 195.0]","[9, 5, 3, 55.56, 82.89]","[15, 6, 8, 40.0, 67.2]","[24, 7, 17, 29.17, 38.0]","[7, 4, 2, 57.14, 137.0]","[6, 3, 2, 50.0, 130.83]","[20, 6, 13, 30.0, 32.85]","[4, 1, 2, 25.0, 78.0]","[6, 2, 3, 33.33, 45.0]","[12, 3, 8, 25.0, 48.08]","[14, 4, 9, 28.57, 59.5]","[12, 5, 7, 41.67, 73.33]","[10, 1, 8, 10.0, 58.1]","[14, 6, 7, 42.86, 50.36]","[18, 5, 12, 27.78, 48.5]","[17, 5, 11, 29.41, 43.53]","[8, 4, 3, 50.0, 141.12]","[15, 4, 10, 26.67, 58.87]","[11, 7, 4, 63.64, 90.45]","[7, 4, 2, 57.14, 128.43]","[11, 5, 6, 45.45, 100.82]","[14, 3, 10, 21.43, 39.14]","[16, 4, 12, 25.0, 49.38]","[13, 4, 8, 30.77, 81.31]","[24, 9, 15, 37.5, 36.46]"
