Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[44, 15, 29, 34.09, 1.45]","[42, 24, 18, 57.14, 1.26]","[14, 4, 10, 28.57, 1.14]","[50, 29, 21, 58.0, 1.36]","[51, 23, 28, 45.1, 1.37]","[44, 18, 26, 40.91, 1.27]","[41, 21, 20, 51.22, 1.46]","[74, 36, 38, 48.65, 1.28]","[50, 22, 28, 44.0, 1.42]","[56, 25, 31, 44.64, 1.68]","[48, 27, 21, 56.25, 1.35]","[44, 18, 26, 40.91, 1.32]","[43, 25, 18, 58.14, 1.23]","[29, 12, 17, 41.38, 1.14]","[69, 31, 38, 44.93, 1.19]","[45, 18, 26, 40.0, 1.41]","[47, 22, 25, 46.81, 1.4]","[48, 20, 28, 41.67, 1.33]","[68, 27, 41, 39.71, 1.44]","[57, 26, 31, 45.61, 1.32]","[54, 24, 30, 44.44, 1.35]","[54, 28, 26, 51.85, 1.28]","[65, 27, 38, 41.54, 1.4]","[61, 25, 36, 40.98, 1.23]","[49, 20, 29, 40.82, 1.71]","[49, 24, 25, 48.98, 1.51]","[50, 21, 29, 42.0, 1.34]","[57, 27, 30, 47.37, 1.16]","[29, 10, 19, 34.48, 1.31]","[63, 29, 34, 46.03, 1.43]","[57, 27, 30, 47.37, 1.35]","[53, 24, 29, 45.28, 1.38]","[15, 8, 7, 53.33, 1.2]","[40, 18, 22, 45.0, 1.2]","[47, 17, 30, 36.17, 1.51]","[45, 21, 23, 46.67, 1.27]","[45, 21, 24, 46.67, 1.33]","[21, 9, 12, 42.86, 1.43]","[38, 17, 21, 44.74, 1.63]","[35, 23, 12, 65.71, 1.49]","[41, 20, 21, 48.78, 1.37]","[62, 25, 37, 40.32, 1.48]","[49, 18, 31, 36.73, 1.18]","[63, 25, 38, 39.68, 1.24]","[43, 14, 29, 32.56, 1.63]","[53, 30, 23, 56.6, 1.43]","[30, 17, 13, 56.67, 1.37]","[40, 20, 20, 50.0, 1.3]","[51, 25, 26, 49.02, 1.39]","[50, 24, 26, 48.0, 1.3]","[55, 27, 28, 49.09, 1.36]","[62, 35, 27, 56.45, 1.42]","[46, 24, 22, 52.17, 1.41]","[56, 23, 33, 41.07, 1.25]","[36, 22, 14, 61.11, 1.67]","[47, 20, 27, 42.55, 1.21]","[51, 32, 19, 62.75, 1.25]","[52, 27, 25, 51.92, 1.23]","[42, 21, 21, 50.0, 1.55]","[0, 0, 0, 0, 0]","[27, 13, 14, 48.15, 1.19]","[59, 27, 32, 45.76, 1.46]","[81, 34, 47, 41.98, 1.43]","[45, 22, 23, 48.89, 1.33]","[47, 23, 24, 48.94, 1.45]","[50, 27, 23, 54.0, 1.36]","[44, 17, 27, 38.64, 1.39]","[47, 21, 26, 44.68, 1.64]","[41, 24, 17, 58.54, 1.32]","[45, 14, 31, 31.11, 1.82]","[49, 21, 28, 42.86, 1.78]","[49, 21, 28, 42.86, 1.71]","[54, 22, 32, 40.74, 1.3]","[52, 25, 27, 48.08, 1.65]","[56, 32, 24, 57.14, 1.34]","[70, 28, 42, 40.0, 1.2]","[49, 32, 17, 65.31, 1.59]","[38, 18, 20, 47.37, 1.37]","[49, 19, 30, 38.78, 1.27]","[63, 29, 34, 46.03, 1.29]","[47, 26, 21, 55.32, 1.53]","[39, 17, 22, 43.59, 1.46]","[47, 18, 29, 38.3, 1.28]","[19, 11, 8, 57.89, 1.26]","[25, 10, 15, 40.0, 1.44]","[51, 17, 34, 33.33, 1.53]","[52, 22, 30, 42.31, 1.46]","[61, 37, 24, 60.66, 1.43]","[61, 28, 33, 45.9, 1.33]","[53, 24, 29, 45.28, 1.23]","[62, 29, 33, 46.77, 1.29]","[49, 20, 29, 40.82, 1.24]","[44, 20, 24, 45.45, 1.7]","[47, 24, 23, 51.06, 1.57]","[43, 17, 26, 39.53, 1.4]","[47, 26, 21, 55.32, 1.21]","[55, 23, 32, 41.82, 1.33]","[58, 22, 36, 37.93, 1.16]","[46, 17, 29, 36.96, 1.22]","[53, 24, 29, 45.28, 1.42]","[62, 32, 30, 51.61, 1.24]"
"(3, 1)","[40, 14, 26, 35.0, 3.6]","[40, 16, 24, 40.0, 2.38]","[14, 4, 10, 28.57, 1.64]","[46, 22, 24, 47.83, 2.7]","[50, 24, 26, 48.0, 3.1]","[43, 17, 26, 39.53, 2.42]","[38, 18, 20, 47.37, 3.37]","[64, 24, 40, 37.5, 2.69]","[46, 14, 32, 30.43, 2.98]","[48, 19, 29, 39.58, 3.46]","[45, 20, 25, 44.44, 2.51]","[38, 13, 25, 34.21, 3.29]","[37, 19, 18, 51.35, 2.35]","[28, 9, 19, 32.14, 2.14]","[63, 24, 39, 38.1, 1.97]","[40, 15, 24, 37.5, 2.54]","[39, 11, 28, 28.21, 3.38]","[44, 21, 23, 47.73, 2.52]","[62, 19, 43, 30.65, 2.97]","[56, 23, 33, 41.07, 2.8]","[48, 18, 30, 37.5, 3.81]","[49, 20, 29, 40.82, 2.14]","[56, 19, 37, 33.93, 3.04]","[55, 19, 36, 34.55, 3.47]","[46, 18, 28, 39.13, 4.67]","[46, 18, 28, 39.13, 3.35]","[48, 18, 30, 37.5, 2.54]","[53, 26, 27, 49.06, 2.23]","[28, 10, 17, 35.71, 1.96]","[53, 21, 32, 39.62, 3.58]","[56, 25, 31, 44.64, 2.27]","[48, 18, 30, 37.5, 2.17]","[14, 9, 5, 64.29, 2.21]","[36, 12, 24, 33.33, 2.47]","[41, 13, 28, 31.71, 2.98]","[44, 18, 25, 40.91, 2.37]","[41, 18, 23, 43.9, 4.0]","[20, 5, 15, 25.0, 4.15]","[32, 12, 20, 37.5, 4.5]","[30, 14, 16, 46.67, 3.23]","[40, 18, 22, 45.0, 2.52]","[53, 21, 32, 39.62, 2.87]","[46, 18, 28, 39.13, 2.0]","[56, 18, 38, 32.14, 2.18]","[38, 11, 27, 28.95, 4.42]","[47, 24, 23, 51.06, 2.94]","[26, 10, 16, 38.46, 2.77]","[37, 15, 22, 40.54, 2.89]","[45, 18, 27, 40.0, 3.53]","[46, 21, 25, 45.65, 2.35]","[51, 20, 31, 39.22, 2.35]","[56, 26, 30, 46.43, 3.3]","[39, 18, 21, 46.15, 3.56]","[51, 16, 34, 31.37, 3.12]","[30, 15, 15, 50.0, 3.8]","[44, 21, 23, 47.73, 1.95]","[47, 28, 19, 59.57, 2.38]","[47, 20, 27, 42.55, 1.96]","[41, 21, 20, 51.22, 3.61]","[0, 0, 0, 0, 0]","[25, 11, 14, 44.0, 2.2]","[54, 19, 35, 35.19, 3.41]","[73, 24, 49, 32.88, 3.07]","[39, 15, 24, 38.46, 3.46]","[42, 14, 28, 33.33, 2.93]","[45, 15, 29, 33.33, 3.24]","[40, 13, 26, 32.5, 4.45]","[43, 16, 27, 37.21, 3.07]","[38, 19, 19, 50.0, 2.26]","[39, 10, 29, 25.64, 4.03]","[39, 18, 21, 46.15, 5.97]","[46, 20, 26, 43.48, 4.33]","[48, 15, 33, 31.25, 2.46]","[49, 18, 31, 36.73, 3.55]","[53, 22, 31, 41.51, 3.89]","[67, 22, 45, 32.84, 1.93]","[46, 25, 20, 54.35, 4.48]","[32, 12, 20, 37.5, 2.22]","[42, 12, 30, 28.57, 2.43]","[60, 25, 35, 41.67, 2.08]","[37, 15, 22, 40.54, 5.3]","[34, 13, 21, 38.24, 3.53]","[45, 14, 31, 31.11, 1.67]","[19, 11, 8, 57.89, 2.21]","[24, 11, 13, 45.83, 3.46]","[49, 17, 32, 34.69, 3.14]","[46, 15, 31, 32.61, 2.59]","[53, 27, 26, 50.94, 3.42]","[56, 25, 31, 44.64, 2.88]","[49, 23, 26, 46.94, 2.55]","[57, 22, 35, 38.6, 2.28]","[47, 19, 28, 40.43, 1.85]","[37, 12, 25, 32.43, 4.65]","[44, 19, 25, 43.18, 3.25]","[41, 16, 25, 39.02, 2.73]","[41, 21, 20, 51.22, 2.51]","[49, 16, 33, 32.65, 2.82]","[53, 19, 34, 35.85, 2.13]","[41, 12, 29, 29.27, 2.63]","[46, 18, 28, 39.13, 4.0]","[57, 25, 32, 43.86, 2.02]"
"(15, 5)","[20, 8, 12, 40.0, 35.45]","[32, 8, 23, 25.0, 10.12]","[12, 5, 6, 41.67, 9.83]","[30, 10, 20, 33.33, 18.03]","[25, 7, 18, 28.0, 25.52]","[23, 7, 16, 30.43, 33.0]","[20, 10, 10, 50.0, 35.6]","[39, 9, 29, 23.08, 21.13]","[28, 11, 17, 39.29, 31.32]","[24, 10, 14, 41.67, 40.83]","[28, 10, 18, 35.71, 16.82]","[27, 14, 13, 51.85, 26.93]","[28, 11, 16, 39.29, 15.54]","[22, 5, 16, 22.73, 10.64]","[38, 12, 26, 31.58, 14.18]","[24, 8, 15, 33.33, 28.17]","[24, 8, 16, 33.33, 25.25]","[23, 11, 11, 47.83, 36.13]","[32, 6, 25, 18.75, 21.38]","[36, 14, 21, 38.89, 16.56]","[21, 7, 13, 33.33, 45.43]","[34, 17, 16, 50.0, 16.74]","[29, 11, 18, 37.93, 31.34]","[26, 7, 19, 26.92, 35.96]","[16, 5, 10, 31.25, 54.0]","[24, 9, 15, 37.5, 37.29]","[24, 7, 16, 29.17, 26.08]","[36, 9, 26, 25.0, 13.22]","[22, 9, 12, 40.91, 14.77]","[27, 10, 16, 37.04, 37.52]","[32, 15, 17, 46.88, 23.91]","[28, 8, 19, 28.57, 20.14]","[8, 1, 7, 12.5, 19.12]","[24, 9, 14, 37.5, 21.08]","[27, 11, 16, 40.74, 25.7]","[23, 8, 15, 34.78, 24.3]","[19, 8, 10, 42.11, 51.53]","[12, 3, 8, 25.0, 25.58]","[19, 8, 10, 42.11, 39.0]","[16, 5, 11, 31.25, 34.75]","[24, 9, 14, 37.5, 26.96]","[25, 6, 18, 24.0, 36.72]","[33, 12, 20, 36.36, 17.85]","[38, 11, 27, 28.95, 17.68]","[21, 9, 11, 42.86, 35.43]","[28, 13, 15, 46.43, 19.39]","[16, 8, 7, 50.0, 27.81]","[24, 9, 15, 37.5, 21.54]","[26, 10, 16, 38.46, 28.85]","[31, 11, 20, 35.48, 16.58]","[31, 10, 21, 32.26, 23.65]","[30, 7, 23, 23.33, 28.03]","[21, 8, 12, 38.1, 34.0]","[27, 5, 21, 18.52, 21.7]","[16, 6, 10, 37.5, 44.75]","[32, 8, 23, 25.0, 10.22]","[29, 12, 16, 41.38, 21.17]","[28, 10, 18, 35.71, 16.86]","[21, 9, 12, 42.86, 43.33]","[0, 0, 0, 0, 0]","[18, 5, 12, 27.78, 13.06]","[26, 8, 17, 30.77, 30.65]","[38, 8, 30, 21.05, 25.0]","[20, 7, 12, 35.0, 35.25]","[20, 7, 13, 35.0, 33.15]","[31, 12, 18, 38.71, 21.58]","[25, 8, 16, 32.0, 26.0]","[25, 10, 14, 40.0, 19.16]","[24, 10, 14, 41.67, 20.25]","[21, 9, 11, 42.86, 42.29]","[16, 8, 7, 50.0, 62.69]","[24, 9, 14, 37.5, 31.83]","[36, 14, 22, 38.89, 19.14]","[28, 11, 17, 39.29, 26.54]","[32, 7, 24, 21.88, 20.44]","[42, 14, 28, 33.33, 14.98]","[15, 8, 6, 53.33, 74.4]","[22, 12, 9, 54.55, 28.32]","[27, 10, 17, 37.04, 28.22]","[41, 13, 28, 31.71, 14.49]","[21, 10, 10, 47.62, 46.48]","[21, 11, 9, 52.38, 34.76]","[31, 11, 19, 35.48, 12.81]","[10, 2, 7, 20.0, 17.0]","[13, 4, 9, 30.77, 33.54]","[31, 10, 21, 32.26, 16.13]","[25, 4, 21, 16.0, 22.96]","[24, 9, 14, 37.5, 30.5]","[31, 9, 22, 29.03, 21.81]","[30, 11, 18, 36.67, 19.33]","[40, 10, 29, 25.0, 12.8]","[34, 9, 24, 26.47, 13.79]","[20, 6, 13, 30.0, 37.05]","[27, 11, 16, 40.74, 26.41]","[29, 15, 14, 51.72, 22.97]","[21, 7, 13, 33.33, 28.05]","[25, 8, 16, 32.0, 30.28]","[32, 8, 23, 25.0, 17.72]","[32, 5, 27, 15.62, 12.31]","[21, 6, 14, 28.57, 37.95]","[40, 13, 26, 32.5, 13.78]"
"(30, 10)","[12, 6, 5, 50.0, 97.5]","[19, 7, 11, 36.84, 35.74]","[9, 4, 4, 44.44, 19.78]","[13, 5, 8, 38.46, 87.69]","[13, 5, 8, 38.46, 97.38]","[12, 4, 7, 33.33, 90.83]","[10, 7, 3, 70.0, 133.6]","[17, 3, 13, 17.65, 74.06]","[14, 4, 9, 28.57, 54.36]","[8, 2, 5, 25.0, 145.0]","[18, 9, 9, 50.0, 45.5]","[11, 6, 5, 54.55, 90.64]","[16, 7, 8, 43.75, 48.88]","[10, 1, 8, 10.0, 23.7]","[24, 10, 14, 41.67, 44.04]","[11, 4, 6, 36.36, 93.18]","[14, 6, 7, 42.86, 70.64]","[14, 5, 8, 35.71, 74.29]","[15, 4, 10, 26.67, 89.0]","[21, 8, 12, 38.1, 48.48]","[15, 5, 9, 33.33, 69.93]","[18, 8, 9, 44.44, 51.5]","[11, 4, 6, 36.36, 100.64]","[13, 3, 9, 23.08, 98.69]","[7, 3, 3, 42.86, 132.14]","[11, 4, 6, 36.36, 115.0]","[13, 5, 7, 38.46, 79.69]","[18, 5, 12, 27.78, 37.17]","[10, 5, 4, 50.0, 64.0]","[14, 5, 8, 35.71, 92.36]","[12, 6, 6, 50.0, 117.92]","[11, 4, 6, 36.36, 76.09]","[4, 0, 4, 0.0, 53.5]","[13, 5, 7, 38.46, 72.62]","[11, 3, 8, 27.27, 96.64]","[13, 6, 6, 46.15, 68.54]","[10, 3, 6, 30.0, 111.8]","[7, 1, 5, 14.29, 58.71]","[9, 4, 4, 44.44, 84.44]","[10, 2, 7, 20.0, 57.7]","[9, 4, 4, 44.44, 155.67]","[11, 2, 8, 18.18, 107.45]","[18, 7, 10, 38.89, 47.11]","[22, 7, 14, 31.82, 46.73]","[8, 5, 2, 62.5, 164.62]","[14, 6, 7, 42.86, 62.29]","[9, 4, 4, 44.44, 73.33]","[13, 3, 9, 23.08, 61.08]","[17, 7, 9, 41.18, 61.24]","[20, 7, 12, 35.0, 38.4]","[17, 6, 11, 35.29, 71.88]","[17, 1, 16, 5.88, 67.06]","[9, 4, 4, 44.44, 138.67]","[15, 5, 9, 33.33, 74.33]","[8, 4, 4, 50.0, 135.5]","[27, 9, 17, 33.33, 23.22]","[17, 8, 8, 47.06, 58.59]","[19, 7, 12, 36.84, 41.95]","[8, 4, 3, 50.0, 112.0]","[0, 0, 0, 0, 0]","[11, 4, 6, 36.36, 51.55]","[15, 6, 8, 40.0, 84.4]","[16, 1, 14, 6.25, 80.0]","[8, 3, 4, 37.5, 136.62]","[11, 3, 8, 27.27, 88.36]","[17, 5, 11, 29.41, 61.59]","[17, 7, 9, 41.18, 65.0]","[13, 6, 7, 46.15, 82.15]","[14, 6, 7, 42.86, 79.64]","[9, 5, 3, 55.56, 75.56]","[8, 4, 3, 50.0, 177.38]","[13, 6, 6, 46.15, 92.62]","[20, 7, 12, 35.0, 47.35]","[10, 4, 5, 40.0, 124.6]","[17, 5, 11, 29.41, 75.35]","[25, 8, 16, 32.0, 40.44]","[7, 4, 2, 57.14, 159.71]","[10, 6, 3, 60.0, 107.7]","[16, 7, 8, 43.75, 67.44]","[27, 9, 18, 33.33, 42.74]","[6, 4, 1, 66.67, 236.5]","[9, 5, 3, 55.56, 108.67]","[22, 7, 14, 31.82, 34.27]","[4, 1, 2, 25.0, 78.0]","[8, 3, 4, 37.5, 79.38]","[12, 3, 9, 25.0, 73.25]","[15, 4, 10, 26.67, 63.93]","[16, 6, 9, 37.5, 71.25]","[13, 3, 9, 23.08, 83.23]","[17, 7, 9, 41.18, 52.35]","[21, 4, 16, 19.05, 41.81]","[19, 7, 11, 36.84, 49.79]","[8, 4, 3, 50.0, 159.0]","[11, 3, 7, 27.27, 105.73]","[14, 9, 5, 64.29, 80.14]","[9, 3, 5, 33.33, 98.11]","[14, 6, 7, 42.86, 86.5]","[17, 4, 12, 23.53, 53.47]","[23, 8, 15, 34.78, 42.7]","[13, 4, 8, 30.77, 96.0]","[25, 9, 15, 36.0, 40.64]"
