,Key,Entry_data
106,"dfs_day_(15, 5)_BBRSI-UC_ADANIENT",32
107,"dfs_day_(15, 5)_MA_ADANIENT",18
108,"dfs_day_(15, 5)_MARSI-C_ADANIENT",2
109,"dfs_day_(15, 5)_MARSI-UC1_ADANIENT",1
110,"dfs_day_(15, 5)_MARSI-UC2_ADANIENT",3
111,"dfs_day_(15, 5)_RSI_ADANIENT",40
112,"dfs_day_(3, 1)_BB_ADANIENT",41
113,"dfs_day_(3, 1)_BBRSI_ADANIENT",23
114,"dfs_day_(3, 1)_BBRSI-UC_ADANIENT",40
115,"dfs_day_(3, 1)_MA_ADANIENT",20
116,"dfs_day_(3, 1)_MARSI-C_ADANIENT",2
117,"dfs_day_(3, 1)_MARSI-UC1_ADANIENT",1
118,"dfs_day_(3, 1)_MARSI-UC2_ADANIENT",3
119,"dfs_day_(3, 1)_RSI_ADANIENT",71
120,"dfs_day_(30, 10)_BB_ADANIENT",20
121,"dfs_day_(30, 10)_BBRSI_ADANIENT",14
122,"dfs_day_(30, 10)_BBRSI-UC_ADANIENT",19
123,"dfs_day_(30, 10)_MA_ADANIENT",14
124,"dfs_day_(30, 10)_MARSI-C_ADANIENT",2
125,"dfs_day_(30, 10)_MARSI-UC1_ADANIENT",1
126,"dfs_day_(30, 10)_MARSI-UC2_ADANIENT",3
127,"dfs_day_(30, 10)_RSI_ADANIENT",23
128,"dfs_hour_(1, 0.33)_BB_ADANIENT",373
129,"dfs_hour_(1, 0.33)_BBRSI_ADANIENT",252
130,"dfs_hour_(1, 0.33)_BBRSI-UC_ADANIENT",365
131,"dfs_hour_(1, 0.33)_MA_ADANIENT",146
132,"dfs_hour_(1, 0.33)_MARSI-C_ADANIENT",5
133,"dfs_hour_(1, 0.33)_MARSI-UC1_ADANIENT",9
134,"dfs_hour_(1, 0.33)_MARSI-UC2_ADANIENT",35
135,"dfs_hour_(1, 0.33)_RSI_ADANIENT",645
136,"dfs_hour_(15, 5)_BB_ADANIENT",112
137,"dfs_hour_(15, 5)_BBRSI_ADANIENT",101
138,"dfs_hour_(15, 5)_BBRSI-UC_ADANIENT",112
139,"dfs_hour_(15, 5)_MA_ADANIENT",77
140,"dfs_hour_(15, 5)_MARSI-C_ADANIENT",4
141,"dfs_hour_(15, 5)_MARSI-UC1_ADANIENT",8
142,"dfs_hour_(15, 5)_MARSI-UC2_ADANIENT",23
143,"dfs_hour_(15, 5)_RSI_ADANIENT",134
144,"dfs_hour_(3, 1)_BB_ADANIENT",311
145,"dfs_hour_(3, 1)_BBRSI_ADANIENT",218
146,"dfs_hour_(3, 1)_BBRSI-UC_ADANIENT",304
147,"dfs_hour_(3, 1)_MA_ADANIENT",137
148,"dfs_hour_(3, 1)_MARSI-C_ADANIENT",4
149,"dfs_hour_(3, 1)_MARSI-UC1_ADANIENT",9
150,"dfs_hour_(3, 1)_MARSI-UC2_ADANIENT",34
151,"dfs_hour_(3, 1)_RSI_ADANIENT",458
152,"dfs_hour_(30, 10)_BB_ADANIENT",47
153,"dfs_hour_(30, 10)_BBRSI_ADANIENT",49
154,"dfs_hour_(30, 10)_BBRSI-UC_ADANIENT",47
155,"dfs_hour_(30, 10)_MA_ADANIENT",34
156,"dfs_hour_(30, 10)_MARSI-C_ADANIENT",4
157,"dfs_hour_(30, 10)_MARSI-UC1_ADANIENT",8
158,"dfs_hour_(30, 10)_MARSI-UC2_ADANIENT",17
159,"dfs_hour_(30, 10)_RSI_ADANIENT",51
160,"dfs_38minute_(1, 0.33)_BB_ADANIENT",518
161,"dfs_38minute_(1, 0.33)_BBRSI_ADANIENT",344
162,"dfs_38minute_(1, 0.33)_BBRSI-UC_ADANIENT",495
163,"dfs_38minute_(1, 0.33)_MA_ADANIENT",194
164,"dfs_38minute_(1, 0.33)_MARSI-C_ADANIENT",19
165,"dfs_38minute_(1, 0.33)_MARSI-UC1_ADANIENT",20
166,"dfs_38minute_(1, 0.33)_MARSI-UC2_ADANIENT",46
167,"dfs_38minute_(1, 0.33)_RSI_ADANIENT",891
168,"dfs_38minute_(15, 5)_BB_ADANIENT",132
169,"dfs_38minute_(15, 5)_BBRSI_ADANIENT",114
170,"dfs_38minute_(15, 5)_BBRSI-UC_ADANIENT",128
171,"dfs_38minute_(15, 5)_MA_ADANIENT",86
172,"dfs_38minute_(15, 5)_MARSI-C_ADANIENT",16
173,"dfs_38minute_(15, 5)_MARSI-UC1_ADANIENT",12
174,"dfs_38minute_(15, 5)_MARSI-UC2_ADANIENT",27
