Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[26, 8, 18, 30.77, 5.31]","[19, 8, 11, 42.11, 2.21]","[13, 3, 10, 23.08, 2.23]","[14, 5, 9, 35.71, 4.64]","[17, 3, 14, 17.65, 4.24]","[19, 8, 11, 42.11, 4.26]","[11, 4, 7, 36.36, 3.0]","[16, 6, 10, 37.5, 3.69]","[22, 5, 17, 22.73, 6.36]","[23, 8, 15, 34.78, 4.43]","[17, 3, 14, 17.65, 3.82]","[14, 4, 10, 28.57, 4.71]","[20, 8, 12, 40.0, 3.8]","[14, 9, 5, 64.29, 2.79]","[15, 5, 10, 33.33, 2.93]","[11, 1, 10, 9.09, 3.45]","[18, 5, 13, 27.78, 5.0]","[19, 7, 12, 36.84, 3.79]","[25, 7, 18, 28.0, 3.84]","[22, 10, 12, 45.45, 3.64]","[11, 3, 8, 27.27, 4.18]","[14, 4, 10, 28.57, 2.79]","[14, 7, 7, 50.0, 4.29]","[13, 4, 9, 30.77, 3.69]","[13, 2, 11, 15.38, 4.15]","[11, 5, 6, 45.45, 5.0]","[15, 11, 4, 73.33, 3.93]","[22, 9, 13, 40.91, 2.41]","[18, 6, 12, 33.33, 3.33]","[13, 5, 8, 38.46, 6.15]","[28, 9, 19, 32.14, 3.86]","[21, 11, 10, 52.38, 3.62]","[5, 2, 3, 40.0, 3.2]","[20, 8, 12, 40.0, 4.1]","[14, 4, 10, 28.57, 3.5]","[15, 9, 6, 60.0, 3.33]","[19, 11, 8, 57.89, 4.21]","[7, 5, 2, 71.43, 3.57]","[11, 2, 9, 18.18, 6.45]","[9, 4, 5, 44.44, 1.89]","[17, 7, 10, 41.18, 5.35]","[14, 6, 8, 42.86, 3.5]","[15, 4, 11, 26.67, 3.47]","[20, 7, 13, 35.0, 2.6]","[13, 7, 6, 53.85, 4.92]","[26, 7, 19, 26.92, 3.46]","[18, 8, 10, 44.44, 3.17]","[18, 4, 14, 22.22, 3.56]","[13, 4, 9, 30.77, 4.38]","[15, 9, 6, 60.0, 4.4]","[22, 11, 11, 50.0, 5.14]","[16, 7, 9, 43.75, 2.38]","[17, 8, 9, 47.06, 5.47]","[19, 10, 9, 52.63, 5.21]","[14, 3, 11, 21.43, 3.71]","[14, 2, 12, 14.29, 3.07]","[17, 8, 9, 47.06, 4.29]","[19, 4, 15, 21.05, 3.32]","[13, 7, 6, 53.85, 10.31]","[2, 0, 2, 0.0, 2.5]","[12, 5, 7, 41.67, 2.83]","[25, 14, 11, 56.0, 4.12]","[23, 5, 18, 21.74, 5.0]","[17, 4, 13, 23.53, 4.41]","[23, 8, 15, 34.78, 5.48]","[16, 5, 11, 31.25, 3.5]","[12, 5, 7, 41.67, 5.42]","[19, 7, 12, 36.84, 3.89]","[23, 9, 14, 39.13, 3.52]","[22, 9, 13, 40.91, 4.27]","[15, 8, 7, 53.33, 11.53]","[19, 2, 17, 10.53, 5.11]","[18, 8, 10, 44.44, 3.0]","[21, 6, 15, 28.57, 3.67]","[15, 6, 9, 40.0, 4.53]","[16, 4, 12, 25.0, 2.94]","[9, 2, 7, 22.22, 3.67]","[13, 5, 8, 38.46, 3.15]","[18, 4, 14, 22.22, 4.5]","[16, 7, 9, 43.75, 2.12]","[24, 7, 17, 29.17, 4.25]","[24, 8, 16, 33.33, 5.29]","[20, 7, 13, 35.0, 3.05]","[3, 2, 1, 66.67, 3.67]","[9, 4, 5, 44.44, 6.56]","[20, 7, 13, 35.0, 3.85]","[23, 9, 14, 39.13, 3.22]","[18, 6, 12, 33.33, 3.78]","[23, 8, 15, 34.78, 3.17]","[16, 3, 13, 18.75, 3.38]","[16, 9, 7, 56.25, 4.19]","[17, 6, 11, 35.29, 2.88]","[17, 7, 10, 41.18, 5.06]","[9, 3, 6, 33.33, 6.0]","[12, 4, 8, 33.33, 7.83]","[22, 9, 13, 40.91, 3.95]","[17, 7, 10, 41.18, 3.76]","[14, 5, 9, 35.71, 4.79]","[12, 6, 6, 50.0, 2.33]","[9, 4, 5, 44.44, 3.89]","[18, 6, 12, 33.33, 3.44]"
"(3, 1)","[24, 9, 15, 37.5, 18.75]","[19, 6, 13, 31.58, 8.0]","[13, 3, 10, 23.08, 5.0]","[14, 3, 11, 21.43, 16.21]","[17, 6, 11, 35.29, 28.29]","[19, 7, 12, 36.84, 16.68]","[10, 3, 7, 30.0, 23.3]","[16, 3, 13, 18.75, 13.88]","[21, 6, 15, 28.57, 17.0]","[21, 5, 16, 23.81, 15.67]","[16, 2, 14, 12.5, 13.12]","[14, 4, 10, 28.57, 15.07]","[19, 6, 13, 31.58, 15.89]","[12, 3, 8, 25.0, 11.33]","[13, 5, 8, 38.46, 10.08]","[11, 4, 7, 36.36, 11.45]","[17, 5, 12, 29.41, 17.59]","[18, 4, 14, 22.22, 13.33]","[23, 7, 16, 30.43, 15.65]","[22, 6, 16, 27.27, 16.27]","[11, 4, 7, 36.36, 13.09]","[14, 2, 12, 14.29, 10.86]","[14, 6, 8, 42.86, 27.29]","[12, 3, 9, 25.0, 17.42]","[13, 2, 11, 15.38, 22.54]","[11, 3, 8, 27.27, 46.91]","[13, 5, 8, 38.46, 19.15]","[21, 9, 12, 42.86, 8.14]","[18, 6, 12, 33.33, 19.61]","[13, 4, 9, 30.77, 12.92]","[27, 6, 21, 22.22, 14.41]","[21, 9, 12, 42.86, 14.43]","[5, 1, 4, 20.0, 8.6]","[18, 9, 9, 50.0, 12.61]","[14, 2, 12, 14.29, 14.64]","[15, 7, 8, 46.67, 9.73]","[19, 9, 9, 47.37, 18.0]","[6, 4, 2, 66.67, 18.5]","[10, 4, 6, 40.0, 38.4]","[7, 2, 5, 28.57, 18.29]","[16, 4, 12, 25.0, 18.88]","[14, 4, 10, 28.57, 19.0]","[15, 6, 9, 40.0, 13.07]","[19, 10, 9, 52.63, 17.95]","[12, 6, 6, 50.0, 28.42]","[25, 8, 17, 32.0, 20.4]","[17, 6, 11, 35.29, 11.35]","[18, 5, 13, 27.78, 12.61]","[13, 4, 9, 30.77, 11.38]","[14, 8, 6, 57.14, 13.5]","[21, 6, 15, 28.57, 24.05]","[15, 5, 10, 33.33, 12.27]","[15, 4, 11, 26.67, 19.0]","[16, 5, 11, 31.25, 16.94]","[13, 2, 11, 15.38, 20.54]","[14, 4, 10, 28.57, 8.93]","[15, 5, 10, 33.33, 14.13]","[18, 4, 14, 22.22, 12.17]","[13, 8, 5, 61.54, 37.69]","[2, 0, 2, 0.0, 19.0]","[12, 5, 7, 41.67, 29.08]","[23, 9, 14, 39.13, 24.48]","[23, 6, 17, 26.09, 20.43]","[17, 4, 13, 23.53, 17.18]","[22, 10, 12, 45.45, 27.41]","[16, 3, 13, 18.75, 8.88]","[12, 4, 8, 33.33, 28.92]","[18, 10, 8, 55.56, 17.89]","[22, 6, 16, 27.27, 13.82]","[21, 9, 12, 42.86, 24.71]","[14, 5, 9, 35.71, 64.5]","[18, 3, 15, 16.67, 31.5]","[18, 7, 11, 38.89, 9.22]","[21, 5, 16, 23.81, 16.9]","[15, 6, 9, 40.0, 15.27]","[16, 4, 12, 25.0, 15.44]","[8, 1, 7, 12.5, 21.12]","[13, 5, 8, 38.46, 22.77]","[14, 3, 11, 21.43, 16.43]","[16, 5, 11, 31.25, 10.5]","[23, 7, 15, 30.43, 18.39]","[24, 7, 17, 29.17, 16.5]","[18, 5, 13, 27.78, 11.94]","[3, 1, 2, 33.33, 29.0]","[9, 4, 5, 44.44, 24.22]","[18, 8, 10, 44.44, 19.89]","[23, 9, 14, 39.13, 19.17]","[18, 4, 14, 22.22, 15.0]","[22, 8, 14, 36.36, 13.77]","[14, 4, 10, 28.57, 12.21]","[14, 7, 7, 50.0, 13.79]","[17, 6, 11, 35.29, 12.59]","[16, 7, 9, 43.75, 32.5]","[9, 2, 7, 22.22, 30.89]","[12, 3, 9, 25.0, 21.75]","[21, 4, 17, 19.05, 30.05]","[17, 8, 9, 47.06, 14.06]","[12, 5, 7, 41.67, 17.92]","[12, 2, 10, 16.67, 12.08]","[9, 4, 5, 44.44, 13.33]","[17, 4, 13, 23.53, 11.76]"
"(15, 5)","[17, 6, 11, 35.29, 345.47]","[16, 7, 9, 43.75, 114.56]","[11, 5, 6, 45.45, 82.55]","[12, 3, 9, 25.0, 211.67]","[16, 3, 12, 18.75, 149.5]","[17, 4, 12, 23.53, 162.06]","[7, 4, 3, 57.14, 385.43]","[15, 2, 13, 13.33, 178.33]","[15, 6, 9, 40.0, 313.8]","[15, 2, 13, 13.33, 362.73]","[14, 8, 6, 57.14, 163.07]","[11, 3, 8, 27.27, 304.27]","[14, 7, 7, 50.0, 213.64]","[12, 3, 8, 25.0, 90.08]","[13, 4, 8, 30.77, 187.0]","[11, 2, 9, 18.18, 104.0]","[16, 6, 9, 37.5, 217.88]","[16, 1, 15, 6.25, 202.62]","[16, 5, 11, 31.25, 258.06]","[18, 5, 13, 27.78, 214.06]","[8, 3, 5, 37.5, 406.5]","[12, 4, 8, 33.33, 248.08]","[13, 3, 10, 23.08, 356.15]","[11, 3, 8, 27.27, 228.55]","[8, 2, 6, 25.0, 518.25]","[10, 6, 4, 60.0, 407.4]","[10, 7, 2, 70.0, 346.5]","[20, 5, 15, 25.0, 98.1]","[13, 7, 6, 53.85, 238.31]","[10, 1, 9, 10.0, 382.0]","[21, 6, 14, 28.57, 182.05]","[18, 6, 11, 33.33, 193.89]","[5, 1, 4, 20.0, 120.4]","[17, 6, 11, 35.29, 215.0]","[14, 4, 9, 28.57, 226.0]","[15, 9, 6, 60.0, 329.07]","[12, 5, 6, 41.67, 332.75]","[4, 1, 3, 25.0, 226.25]","[8, 3, 5, 37.5, 360.5]","[7, 2, 5, 28.57, 134.71]","[15, 3, 12, 20.0, 280.73]","[11, 3, 8, 27.27, 192.18]","[13, 4, 8, 30.77, 177.0]","[17, 7, 10, 41.18, 187.35]","[8, 4, 4, 50.0, 491.25]","[17, 7, 9, 41.18, 266.59]","[14, 0, 14, 0.0, 194.0]","[16, 6, 10, 37.5, 264.69]","[12, 4, 8, 33.33, 157.92]","[12, 4, 8, 33.33, 162.67]","[13, 5, 7, 38.46, 295.46]","[14, 3, 11, 21.43, 133.5]","[11, 2, 8, 18.18, 269.36]","[13, 4, 9, 30.77, 170.54]","[10, 4, 6, 40.0, 328.7]","[12, 3, 9, 25.0, 113.67]","[13, 6, 7, 46.15, 138.46]","[16, 5, 11, 31.25, 169.69]","[8, 4, 3, 50.0, 450.62]","[2, 0, 2, 0.0, 83.0]","[9, 5, 4, 55.56, 246.22]","[19, 3, 16, 15.79, 213.53]","[17, 3, 14, 17.65, 278.59]","[13, 3, 9, 23.08, 341.0]","[16, 9, 7, 56.25, 307.56]","[14, 4, 10, 28.57, 97.71]","[11, 3, 8, 27.27, 330.91]","[13, 7, 6, 53.85, 199.08]","[18, 8, 10, 44.44, 166.39]","[17, 9, 8, 52.94, 436.94]","[8, 4, 4, 50.0, 814.12]","[13, 4, 9, 30.77, 520.0]","[14, 6, 8, 42.86, 136.93]","[12, 2, 10, 16.67, 543.75]","[15, 2, 13, 13.33, 96.67]","[15, 4, 11, 26.67, 118.13]","[7, 3, 4, 42.86, 385.29]","[9, 5, 4, 55.56, 426.89]","[13, 3, 10, 23.08, 165.23]","[12, 2, 10, 16.67, 132.92]","[18, 2, 15, 11.11, 308.11]","[20, 7, 13, 35.0, 271.2]","[15, 5, 10, 33.33, 114.87]","[3, 1, 2, 33.33, 352.67]","[7, 3, 4, 42.86, 473.71]","[15, 4, 10, 26.67, 168.87]","[17, 6, 11, 35.29, 213.53]","[16, 6, 10, 37.5, 221.38]","[17, 5, 12, 29.41, 276.65]","[12, 3, 9, 25.0, 129.5]","[13, 4, 9, 30.77, 126.38]","[14, 3, 11, 21.43, 196.14]","[13, 4, 9, 30.77, 308.62]","[8, 4, 4, 50.0, 290.88]","[10, 3, 6, 30.0, 326.6]","[14, 7, 6, 50.0, 323.71]","[14, 7, 7, 50.0, 318.79]","[12, 1, 10, 8.33, 213.58]","[10, 3, 7, 30.0, 105.7]","[8, 4, 4, 50.0, 278.0]","[17, 6, 11, 35.29, 66.41]"
"(30, 10)","[10, 5, 5, 50.0, 1040.6]","[11, 6, 5, 54.55, 369.64]","[11, 6, 5, 54.55, 204.18]","[9, 3, 6, 33.33, 823.0]","[9, 3, 5, 33.33, 815.11]","[9, 3, 5, 33.33, 808.89]","[7, 4, 3, 57.14, 867.71]","[13, 1, 11, 7.69, 520.08]","[8, 4, 4, 50.0, 1356.25]","[8, 2, 5, 25.0, 1295.38]","[12, 8, 4, 66.67, 497.67]","[9, 2, 7, 22.22, 674.78]","[11, 5, 6, 45.45, 468.73]","[10, 2, 7, 20.0, 252.5]","[11, 3, 7, 27.27, 467.27]","[6, 1, 4, 16.67, 987.83]","[13, 4, 8, 30.77, 459.85]","[11, 1, 10, 9.09, 671.0]","[9, 1, 7, 11.11, 881.56]","[13, 5, 8, 38.46, 586.15]","[6, 5, 1, 83.33, 710.17]","[10, 3, 7, 30.0, 795.8]","[8, 3, 5, 37.5, 1132.88]","[9, 1, 8, 11.11, 757.22]","[4, 3, 1, 75.0, 2085.0]","[6, 3, 3, 50.0, 1686.17]","[7, 5, 1, 71.43, 821.43]","[16, 5, 10, 31.25, 249.06]","[9, 4, 5, 44.44, 597.11]","[9, 1, 7, 11.11, 664.44]","[15, 5, 9, 33.33, 518.27]","[12, 5, 6, 41.67, 516.5]","[4, 2, 2, 50.0, 381.5]","[10, 3, 6, 30.0, 1001.9]","[9, 3, 5, 33.33, 575.89]","[12, 5, 6, 41.67, 641.25]","[7, 3, 3, 42.86, 1364.43]","[4, 1, 3, 25.0, 452.75]","[6, 3, 3, 50.0, 926.17]","[4, 2, 2, 50.0, 1407.25]","[8, 1, 7, 12.5, 1244.25]","[10, 2, 8, 20.0, 504.4]","[8, 3, 4, 37.5, 581.38]","[14, 5, 8, 35.71, 581.14]","[5, 3, 2, 60.0, 1227.2]","[13, 5, 7, 38.46, 680.38]","[7, 2, 4, 28.57, 1231.29]","[11, 3, 7, 27.27, 522.82]","[9, 3, 5, 33.33, 646.44]","[10, 3, 7, 30.0, 409.5]","[8, 3, 4, 37.5, 790.5]","[14, 2, 11, 14.29, 298.43]","[8, 3, 4, 37.5, 883.38]","[11, 3, 7, 27.27, 607.0]","[5, 3, 2, 60.0, 2008.0]","[10, 3, 7, 30.0, 235.2]","[8, 4, 4, 50.0, 632.12]","[14, 6, 8, 42.86, 373.64]","[4, 2, 1, 50.0, 1023.25]","[1, 0, 1, 0.0, 234.0]","[6, 3, 3, 50.0, 731.83]","[10, 3, 6, 30.0, 1053.0]","[12, 1, 10, 8.33, 767.25]","[8, 3, 4, 37.5, 1047.12]","[12, 6, 5, 50.0, 804.5]","[12, 2, 9, 16.67, 369.92]","[10, 4, 5, 40.0, 695.7]","[9, 4, 5, 44.44, 610.11]","[12, 5, 7, 41.67, 666.17]","[6, 4, 1, 66.67, 1321.33]","[5, 2, 2, 40.0, 1544.8]","[8, 3, 4, 37.5, 1033.12]","[10, 5, 5, 50.0, 627.4]","[7, 2, 5, 28.57, 1521.0]","[12, 2, 10, 16.67, 593.67]","[13, 4, 9, 30.77, 430.46]","[5, 2, 3, 40.0, 1345.4]","[5, 4, 1, 80.0, 1627.4]","[12, 5, 7, 41.67, 750.67]","[11, 1, 10, 9.09, 284.64]","[6, 1, 4, 16.67, 1537.33]","[10, 6, 4, 60.0, 1155.7]","[12, 4, 7, 33.33, 378.42]","[2, 1, 1, 50.0, 1059.5]","[6, 2, 3, 33.33, 874.0]","[8, 3, 4, 37.5, 869.5]","[14, 5, 8, 35.71, 546.71]","[11, 6, 5, 54.55, 773.45]","[12, 2, 9, 16.67, 428.0]","[10, 4, 5, 40.0, 397.8]","[11, 3, 8, 27.27, 216.36]","[12, 3, 9, 25.0, 440.25]","[6, 2, 4, 33.33, 1730.83]","[6, 2, 4, 33.33, 889.83]","[6, 3, 2, 50.0, 922.83]","[9, 4, 4, 44.44, 846.56]","[7, 3, 4, 42.86, 1443.29]","[9, 2, 6, 22.22, 657.22]","[9, 3, 6, 33.33, 314.56]","[8, 4, 4, 50.0, 693.5]","[11, 3, 8, 27.27, 534.82]"
