Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[518, 180, 338, 34.75, 4.48]","[518, 220, 298, 42.47, 2.49]","[279, 106, 173, 37.99, 3.18]","[555, 191, 364, 34.41, 3.37]","[506, 179, 327, 35.38, 4.32]","[510, 167, 343, 32.75, 3.89]","[463, 163, 300, 35.21, 4.52]","[563, 177, 386, 31.44, 3.19]","[510, 165, 345, 32.35, 3.9]","[493, 176, 317, 35.7, 4.97]","[515, 201, 314, 39.03, 4.04]","[469, 189, 280, 40.3, 5.41]","[519, 186, 332, 35.84, 3.68]","[360, 120, 240, 33.33, 3.1]","[605, 203, 402, 33.55, 2.81]","[487, 187, 300, 38.4, 3.99]","[543, 208, 335, 38.31, 3.88]","[498, 164, 334, 32.93, 3.72]","[553, 168, 384, 30.38, 4.34]","[510, 163, 347, 31.96, 3.77]","[480, 182, 298, 37.92, 5.3]","[525, 217, 308, 41.33, 3.13]","[517, 198, 319, 38.3, 4.66]","[557, 177, 380, 31.78, 4.33]","[482, 164, 318, 34.02, 5.78]","[483, 173, 310, 35.82, 4.63]","[488, 188, 299, 38.52, 4.23]","[572, 214, 358, 37.41, 2.61]","[326, 132, 194, 40.49, 4.18]","[500, 171, 329, 34.2, 4.95]","[525, 165, 360, 31.43, 4.22]","[537, 189, 348, 35.2, 3.87]","[129, 49, 80, 37.98, 3.54]","[514, 191, 323, 37.16, 3.92]","[488, 167, 321, 34.22, 3.88]","[522, 217, 305, 41.57, 3.8]","[469, 203, 266, 43.28, 4.71]","[292, 88, 204, 30.14, 5.01]","[447, 148, 299, 33.11, 6.45]","[319, 105, 214, 32.92, 4.72]","[470, 152, 318, 32.34, 4.92]","[555, 174, 381, 31.35, 4.62]","[547, 204, 343, 37.29, 3.01]","[534, 181, 353, 33.9, 3.27]","[442, 175, 267, 39.59, 5.8]","[522, 183, 339, 35.06, 3.93]","[338, 137, 201, 40.53, 3.77]","[417, 141, 276, 33.81, 3.66]","[491, 188, 303, 38.29, 3.66]","[478, 180, 298, 37.66, 3.38]","[530, 171, 359, 32.26, 3.96]","[564, 216, 348, 38.3, 3.34]","[459, 171, 288, 37.25, 5.24]","[540, 191, 349, 35.37, 3.98]","[485, 163, 322, 33.61, 5.33]","[566, 227, 339, 40.11, 2.26]","[527, 197, 330, 37.38, 3.02]","[536, 180, 356, 33.58, 3.26]","[457, 169, 288, 36.98, 5.05]","[28, 4, 24, 14.29, 8.18]","[379, 150, 229, 39.58, 3.86]","[514, 162, 352, 31.52, 4.63]","[534, 200, 334, 37.45, 4.34]","[480, 182, 298, 37.92, 4.47]","[502, 163, 339, 32.47, 5.1]","[563, 172, 391, 30.55, 3.74]","[520, 180, 340, 34.62, 4.08]","[541, 235, 306, 43.44, 3.2]","[528, 189, 338, 35.8, 3.61]","[475, 166, 309, 34.95, 6.02]","[447, 134, 313, 29.98, 8.54]","[483, 145, 338, 30.02, 6.46]","[549, 168, 381, 30.6, 3.48]","[529, 189, 340, 35.73, 4.4]","[536, 180, 356, 33.58, 4.1]","[577, 209, 368, 36.22, 3.22]","[438, 194, 244, 44.29, 6.75]","[475, 178, 297, 37.47, 4.52]","[479, 193, 286, 40.29, 3.9]","[587, 190, 397, 32.37, 3.09]","[506, 196, 310, 38.74, 5.17]","[463, 145, 318, 31.32, 4.42]","[604, 188, 416, 31.13, 2.84]","[172, 59, 113, 34.3, 3.91]","[334, 124, 210, 37.13, 4.37]","[532, 158, 374, 29.7, 3.65]","[553, 211, 341, 38.16, 3.69]","[481, 178, 303, 37.01, 3.72]","[509, 161, 348, 31.63, 4.12]","[495, 180, 315, 36.36, 3.82]","[580, 173, 407, 29.83, 3.38]","[525, 166, 359, 31.62, 3.23]","[478, 165, 313, 34.52, 5.69]","[530, 209, 321, 39.43, 4.13]","[492, 187, 305, 38.01, 3.83]","[474, 179, 294, 37.76, 4.16]","[498, 168, 330, 33.73, 4.26]","[522, 191, 331, 36.59, 3.44]","[568, 209, 359, 36.8, 2.61]","[477, 162, 315, 33.96, 5.32]","[557, 181, 376, 32.5, 3.46]"
"(3, 1)","[356, 119, 237, 33.43, 18.94]","[419, 161, 258, 38.42, 9.2]","[228, 68, 160, 29.82, 8.11]","[412, 130, 282, 31.55, 12.91]","[361, 101, 260, 27.98, 15.35]","[381, 117, 263, 30.71, 13.83]","[311, 107, 203, 34.41, 21.86]","[421, 113, 308, 26.84, 12.93]","[370, 112, 258, 30.27, 15.7]","[323, 115, 208, 35.6, 23.23]","[366, 114, 252, 31.15, 16.03]","[325, 115, 210, 35.38, 20.72]","[388, 135, 253, 34.79, 13.38]","[279, 84, 194, 30.11, 11.05]","[479, 127, 352, 26.51, 9.58]","[343, 129, 213, 37.61, 17.88]","[383, 118, 265, 30.81, 16.09]","[385, 129, 256, 33.51, 14.3]","[380, 91, 288, 23.95, 16.59]","[371, 101, 270, 27.22, 13.97]","[326, 115, 211, 35.28, 23.44]","[409, 142, 267, 34.72, 11.46]","[342, 103, 239, 30.12, 20.83]","[371, 103, 267, 27.76, 18.94]","[309, 105, 204, 33.98, 25.44]","[322, 114, 207, 35.4, 22.37]","[354, 113, 240, 31.92, 15.78]","[442, 126, 315, 28.51, 9.4]","[238, 81, 157, 34.03, 15.41]","[354, 119, 234, 33.62, 20.7]","[384, 115, 269, 29.95, 15.47]","[402, 129, 273, 32.09, 13.43]","[104, 26, 78, 25.0, 10.35]","[368, 114, 253, 30.98, 15.6]","[353, 111, 241, 31.44, 16.68]","[367, 129, 238, 35.15, 15.43]","[321, 121, 200, 37.69, 22.79]","[207, 54, 153, 26.09, 18.68]","[285, 93, 191, 32.63, 29.37]","[221, 63, 158, 28.51, 20.0]","[328, 103, 224, 31.4, 20.0]","[366, 106, 260, 28.96, 19.64]","[439, 139, 300, 31.66, 10.44]","[404, 132, 272, 32.67, 11.26]","[285, 105, 180, 36.84, 27.5]","[374, 121, 253, 32.35, 15.42]","[231, 83, 147, 35.93, 15.53]","[314, 100, 213, 31.85, 13.73]","[351, 119, 232, 33.9, 15.28]","[364, 105, 259, 28.85, 11.4]","[385, 116, 269, 30.13, 15.34]","[400, 128, 272, 32.0, 13.15]","[289, 96, 193, 33.22, 25.09]","[372, 111, 260, 29.84, 17.11]","[311, 95, 216, 30.55, 25.75]","[476, 165, 311, 34.66, 6.93]","[390, 134, 256, 34.36, 12.66]","[418, 128, 289, 30.62, 10.97]","[324, 121, 203, 37.35, 22.48]","[16, 2, 14, 12.5, 24.06]","[270, 91, 179, 33.7, 18.19]","[345, 103, 241, 29.86, 19.69]","[376, 114, 262, 30.32, 17.23]","[312, 113, 199, 36.22, 23.63]","[336, 100, 235, 29.76, 20.9]","[415, 109, 305, 26.27, 12.91]","[361, 111, 250, 30.75, 17.86]","[387, 131, 255, 33.85, 13.86]","[407, 133, 273, 32.68, 12.67]","[299, 105, 194, 35.12, 26.75]","[246, 77, 169, 31.3, 39.89]","[304, 95, 209, 31.25, 26.76]","[412, 118, 294, 28.64, 12.33]","[352, 104, 248, 29.55, 20.12]","[379, 108, 271, 28.5, 15.9]","[442, 131, 311, 29.64, 11.4]","[263, 96, 166, 36.5, 31.27]","[329, 124, 204, 37.69, 20.86]","[343, 117, 225, 34.11, 15.49]","[452, 126, 326, 27.88, 10.71]","[315, 107, 208, 33.97, 24.39]","[327, 93, 233, 28.44, 18.52]","[477, 125, 351, 26.21, 9.67]","[120, 34, 85, 28.33, 14.57]","[233, 82, 151, 35.19, 17.91]","[373, 96, 277, 25.74, 15.43]","[395, 122, 272, 30.89, 15.5]","[348, 109, 238, 31.32, 16.36]","[358, 110, 247, 30.73, 17.13]","[365, 119, 245, 32.6, 14.72]","[444, 118, 325, 26.58, 11.45]","[412, 120, 291, 29.13, 11.16]","[300, 94, 206, 31.33, 26.47]","[388, 134, 254, 34.54, 16.54]","[336, 115, 221, 34.23, 16.76]","[328, 112, 215, 34.15, 18.02]","[351, 113, 237, 32.19, 17.89]","[389, 125, 264, 32.13, 13.37]","[437, 130, 307, 29.75, 9.81]","[321, 99, 222, 30.84, 24.71]","[421, 115, 306, 27.32, 13.05]"
"(15, 5)","[56, 16, 39, 28.57, 271.41]","[132, 51, 80, 38.64, 92.67]","[87, 28, 58, 32.18, 69.16]","[94, 35, 58, 37.23, 159.74]","[71, 23, 47, 32.39, 201.79]","[65, 26, 38, 40.0, 229.05]","[50, 23, 26, 46.0, 313.76]","[99, 28, 70, 28.28, 137.35]","[76, 26, 50, 34.21, 198.89]","[49, 17, 31, 34.69, 300.31]","[82, 31, 50, 37.8, 170.61]","[63, 27, 35, 42.86, 238.0]","[89, 35, 53, 39.33, 150.45]","[83, 25, 57, 30.12, 99.4]","[129, 37, 92, 28.68, 109.8]","[63, 24, 38, 38.1, 239.84]","[69, 22, 46, 31.88, 217.68]","[63, 25, 37, 39.68, 241.57]","[70, 17, 52, 24.29, 222.74]","[77, 21, 55, 27.27, 193.29]","[58, 22, 35, 37.93, 260.93]","[88, 30, 57, 34.09, 161.24]","[49, 17, 31, 34.69, 324.98]","[79, 20, 58, 25.32, 192.87]","[38, 12, 25, 31.58, 401.5]","[42, 16, 25, 38.1, 385.4]","[62, 23, 38, 37.1, 229.95]","[117, 36, 80, 30.77, 117.85]","[61, 24, 36, 39.34, 160.33]","[53, 17, 35, 32.08, 288.42]","[78, 23, 54, 29.49, 189.32]","[79, 23, 55, 29.11, 183.33]","[24, 5, 18, 20.83, 129.08]","[68, 25, 42, 36.76, 224.06]","[65, 23, 41, 35.38, 225.11]","[69, 25, 44, 36.23, 215.36]","[47, 17, 29, 36.17, 327.96]","[49, 14, 34, 28.57, 155.98]","[39, 16, 22, 41.03, 410.41]","[43, 11, 31, 25.58, 211.33]","[54, 20, 33, 37.04, 288.57]","[60, 18, 41, 30.0, 257.57]","[111, 35, 75, 31.53, 125.79]","[96, 29, 66, 30.21, 141.1]","[39, 16, 22, 41.03, 400.1]","[75, 27, 47, 36.0, 195.44]","[46, 14, 31, 30.43, 213.83]","[65, 18, 46, 27.69, 170.88]","[65, 24, 40, 36.92, 226.05]","[102, 32, 69, 31.37, 118.69]","[80, 25, 54, 31.25, 187.74]","[83, 23, 59, 27.71, 179.66]","[46, 20, 25, 43.48, 341.43]","[70, 23, 46, 32.86, 218.34]","[49, 17, 31, 34.69, 309.33]","[158, 51, 106, 32.28, 83.03]","[86, 33, 53, 38.37, 168.79]","[95, 35, 59, 36.84, 148.74]","[43, 18, 24, 41.86, 354.42]","[2, 0, 2, 0.0, 392.0]","[66, 27, 38, 40.91, 164.65]","[58, 18, 39, 31.03, 255.64]","[75, 16, 58, 21.33, 198.53]","[46, 18, 27, 39.13, 330.65]","[64, 22, 41, 34.38, 235.5]","[82, 23, 58, 28.05, 183.28]","[64, 20, 43, 31.25, 230.55]","[86, 32, 53, 37.21, 169.01]","[92, 36, 55, 39.13, 158.88]","[36, 16, 19, 44.44, 434.42]","[25, 11, 13, 44.0, 656.28]","[48, 16, 31, 33.33, 323.29]","[103, 27, 75, 26.21, 139.72]","[59, 18, 40, 30.51, 260.51]","[99, 27, 71, 27.27, 145.84]","[109, 30, 78, 27.52, 127.54]","[33, 13, 19, 39.39, 450.06]","[39, 17, 21, 43.59, 399.0]","[75, 31, 43, 41.33, 186.97]","[129, 35, 94, 27.13, 108.12]","[40, 15, 24, 37.5, 405.9]","[65, 25, 39, 38.46, 222.23]","[124, 37, 86, 29.84, 113.53]","[32, 11, 20, 34.38, 147.28]","[34, 13, 20, 38.24, 301.24]","[73, 21, 51, 28.77, 202.12]","[77, 28, 48, 36.36, 197.99]","[71, 21, 49, 29.58, 200.9]","[67, 20, 46, 29.85, 229.01]","[72, 24, 47, 33.33, 202.61]","[125, 34, 90, 27.2, 111.95]","[100, 34, 65, 34.0, 143.65]","[36, 13, 22, 36.11, 444.33]","[83, 29, 53, 34.94, 183.31]","[69, 29, 39, 42.03, 208.84]","[54, 21, 32, 38.89, 272.59]","[62, 22, 39, 35.48, 243.77]","[92, 29, 62, 31.52, 154.18]","[132, 41, 90, 31.06, 98.86]","[48, 15, 33, 31.25, 327.71]","[141, 34, 106, 24.11, 92.2]"
"(30, 10)","[21, 7, 13, 33.33, 774.52]","[51, 21, 29, 41.18, 288.45]","[43, 17, 25, 39.53, 160.86]","[28, 11, 16, 39.29, 584.04]","[21, 8, 12, 38.1, 782.67]","[26, 10, 15, 38.46, 596.96]","[13, 7, 5, 53.85, 1257.85]","[33, 8, 24, 24.24, 475.42]","[26, 9, 17, 34.62, 633.65]","[13, 5, 7, 38.46, 1311.23]","[28, 13, 14, 46.43, 554.5]","[20, 10, 9, 50.0, 812.25]","[36, 17, 18, 47.22, 437.39]","[35, 7, 27, 20.0, 220.0]","[47, 13, 33, 27.66, 336.04]","[22, 10, 11, 45.45, 711.27]","[17, 6, 10, 35.29, 945.88]","[22, 9, 12, 40.91, 746.05]","[28, 7, 20, 25.0, 552.39]","[31, 9, 21, 29.03, 508.42]","[15, 7, 7, 46.67, 1026.8]","[30, 14, 15, 46.67, 491.27]","[17, 6, 10, 35.29, 985.35]","[19, 4, 14, 21.05, 874.53]","[12, 5, 6, 41.67, 1219.75]","[12, 5, 6, 41.67, 1093.83]","[31, 13, 17, 41.94, 497.32]","[39, 14, 24, 35.9, 378.56]","[16, 8, 7, 50.0, 672.19]","[9, 3, 5, 33.33, 1759.33]","[24, 9, 14, 37.5, 684.38]","[26, 8, 17, 30.77, 609.92]","[11, 3, 7, 27.27, 297.27]","[22, 9, 12, 40.91, 757.77]","[19, 8, 10, 42.11, 866.63]","[23, 10, 12, 43.48, 657.0]","[17, 6, 10, 35.29, 950.82]","[21, 6, 14, 28.57, 367.14]","[9, 5, 3, 55.56, 1420.89]","[17, 6, 10, 35.29, 533.12]","[16, 7, 8, 43.75, 993.5]","[20, 5, 14, 25.0, 774.9]","[44, 15, 28, 34.09, 362.77]","[36, 12, 23, 33.33, 417.75]","[10, 5, 4, 50.0, 1655.0]","[28, 11, 16, 39.29, 543.79]","[14, 6, 7, 42.86, 727.93]","[20, 7, 12, 35.0, 607.95]","[24, 10, 13, 41.67, 618.04]","[26, 9, 16, 34.62, 505.35]","[30, 10, 19, 33.33, 525.93]","[27, 7, 19, 25.93, 581.19]","[16, 8, 7, 50.0, 990.44]","[19, 6, 12, 31.58, 859.42]","[16, 6, 9, 37.5, 1038.12]","[65, 21, 43, 32.31, 233.6]","[27, 12, 14, 44.44, 570.7]","[38, 15, 22, 39.47, 417.32]","[15, 7, 7, 46.67, 850.4]","[1, 0, 1, 0.0, 784.0]","[22, 10, 11, 45.45, 542.73]","[21, 6, 14, 28.57, 736.95]","[19, 3, 15, 15.79, 846.53]","[7, 4, 2, 57.14, 1967.57]","[22, 8, 13, 36.36, 696.82]","[28, 8, 19, 28.57, 564.54]","[16, 6, 9, 37.5, 1020.75]","[28, 12, 15, 42.86, 552.14]","[30, 12, 17, 40.0, 540.43]","[12, 6, 5, 50.0, 1092.75]","[9, 4, 4, 44.44, 1815.0]","[17, 6, 10, 35.29, 774.06]","[36, 10, 25, 27.78, 436.75]","[20, 6, 13, 30.0, 798.05]","[29, 7, 21, 24.14, 546.28]","[49, 15, 34, 30.61, 321.61]","[6, 3, 2, 50.0, 2173.0]","[18, 9, 8, 50.0, 901.83]","[25, 11, 13, 44.0, 651.08]","[49, 11, 37, 22.45, 326.33]","[14, 6, 7, 42.86, 1208.29]","[20, 10, 9, 50.0, 727.2]","[51, 14, 36, 27.45, 298.33]","[8, 3, 4, 37.5, 630.12]","[14, 5, 8, 35.71, 673.14]","[27, 9, 17, 33.33, 603.56]","[24, 9, 14, 37.5, 690.42]","[22, 8, 13, 36.36, 736.27]","[15, 3, 11, 20.0, 953.0]","[29, 11, 17, 37.93, 504.52]","[40, 9, 30, 22.5, 372.98]","[37, 13, 23, 35.14, 415.0]","[14, 6, 7, 42.86, 1196.07]","[27, 10, 16, 37.04, 595.81]","[26, 12, 13, 46.15, 617.31]","[18, 7, 10, 38.89, 855.72]","[18, 6, 11, 33.33, 839.11]","[29, 12, 16, 41.38, 547.59]","[46, 16, 29, 34.78, 346.57]","[17, 6, 11, 35.29, 987.71]","[61, 15, 45, 24.59, 256.38]"
