Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[64, 21, 43, 32.81, 4.97]","[46, 20, 26, 43.48, 2.5]","[30, 12, 18, 40.0, 3.23]","[68, 25, 43, 36.76, 3.47]","[40, 15, 25, 37.5, 4.78]","[50, 21, 29, 42.0, 4.5]","[46, 13, 33, 28.26, 4.37]","[60, 22, 38, 36.67, 2.98]","[57, 22, 35, 38.6, 4.72]","[61, 23, 38, 37.7, 5.21]","[49, 14, 35, 28.57, 4.76]","[52, 18, 34, 34.62, 4.25]","[56, 32, 24, 57.14, 5.04]","[32, 14, 18, 43.75, 3.22]","[39, 14, 25, 35.9, 3.26]","[57, 14, 43, 24.56, 3.51]","[62, 16, 46, 25.81, 3.58]","[58, 19, 39, 32.76, 3.84]","[52, 24, 28, 46.15, 5.88]","[52, 11, 41, 21.15, 3.54]","[57, 25, 32, 43.86, 5.46]","[58, 16, 42, 27.59, 3.02]","[53, 16, 37, 30.19, 5.72]","[60, 24, 36, 40.0, 4.22]","[53, 10, 43, 18.87, 5.28]","[63, 19, 44, 30.16, 5.35]","[59, 23, 36, 38.98, 4.08]","[54, 21, 32, 38.89, 2.81]","[43, 19, 24, 44.19, 3.93]","[47, 16, 31, 34.04, 5.11]","[61, 21, 40, 34.43, 4.56]","[41, 18, 23, 43.9, 3.27]","[18, 3, 15, 16.67, 2.44]","[56, 21, 35, 37.5, 4.2]","[46, 16, 30, 34.78, 3.52]","[61, 16, 45, 26.23, 4.02]","[66, 19, 47, 28.79, 5.68]","[27, 7, 20, 25.93, 4.93]","[40, 14, 26, 35.0, 10.15]","[38, 14, 24, 36.84, 4.18]","[44, 13, 31, 29.55, 5.59]","[49, 15, 34, 30.61, 6.67]","[52, 14, 38, 26.92, 3.65]","[55, 16, 39, 29.09, 3.53]","[45, 17, 28, 37.78, 5.84]","[61, 22, 39, 36.07, 4.3]","[35, 13, 22, 37.14, 4.37]","[53, 26, 26, 49.06, 4.11]","[63, 20, 43, 31.75, 3.57]","[57, 17, 40, 29.82, 3.49]","[48, 14, 34, 29.17, 5.6]","[83, 27, 56, 32.53, 3.58]","[54, 21, 33, 38.89, 4.63]","[61, 12, 49, 19.67, 3.97]","[49, 17, 32, 34.69, 5.65]","[41, 16, 25, 39.02, 2.29]","[45, 13, 32, 28.89, 3.64]","[46, 24, 22, 52.17, 3.76]","[60, 21, 39, 35.0, 4.72]","[2, 0, 2, 0.0, 8.0]","[37, 19, 18, 51.35, 5.22]","[44, 17, 27, 38.64, 4.91]","[48, 18, 30, 37.5, 4.56]","[63, 19, 44, 30.16, 4.87]","[49, 19, 30, 38.78, 5.61]","[44, 21, 23, 47.73, 4.64]","[57, 20, 37, 35.09, 3.81]","[54, 19, 35, 35.19, 4.11]","[86, 28, 58, 32.56, 3.49]","[48, 15, 33, 31.25, 6.67]","[24, 10, 14, 41.67, 14.12]","[37, 16, 21, 43.24, 9.73]","[56, 23, 33, 41.07, 3.07]","[60, 14, 46, 23.33, 6.1]","[47, 13, 34, 27.66, 4.19]","[59, 22, 37, 37.29, 3.07]","[60, 16, 44, 26.67, 4.22]","[56, 16, 40, 28.57, 5.11]","[63, 17, 46, 26.98, 3.33]","[51, 32, 19, 62.75, 3.31]","[49, 12, 37, 24.49, 3.69]","[51, 18, 33, 35.29, 5.76]","[49, 19, 30, 38.78, 3.18]","[13, 5, 8, 38.46, 4.54]","[38, 14, 24, 36.84, 4.45]","[55, 20, 35, 36.36, 4.38]","[66, 24, 42, 36.36, 4.61]","[50, 18, 32, 36.0, 3.48]","[62, 24, 38, 38.71, 4.79]","[53, 22, 30, 41.51, 4.64]","[58, 19, 39, 32.76, 3.98]","[54, 23, 31, 42.59, 3.78]","[50, 18, 32, 36.0, 7.9]","[56, 27, 29, 48.21, 4.91]","[48, 18, 30, 37.5, 4.6]","[64, 26, 38, 40.62, 4.38]","[38, 14, 24, 36.84, 3.87]","[51, 18, 33, 35.29, 3.78]","[54, 20, 34, 37.04, 2.89]","[56, 18, 38, 32.14, 7.29]","[59, 23, 36, 38.98, 3.95]"
"(3, 1)","[54, 25, 29, 46.3, 21.76]","[39, 13, 26, 33.33, 8.38]","[28, 9, 19, 32.14, 8.43]","[55, 21, 34, 38.18, 15.76]","[39, 13, 26, 33.33, 18.59]","[46, 17, 29, 36.96, 16.59]","[42, 13, 29, 30.95, 20.21]","[49, 16, 33, 32.65, 15.82]","[48, 16, 32, 33.33, 23.25]","[49, 14, 35, 28.57, 28.49]","[43, 15, 28, 34.88, 22.47]","[42, 14, 28, 33.33, 32.33]","[48, 23, 25, 47.92, 23.48]","[29, 12, 17, 41.38, 11.34]","[34, 13, 21, 38.24, 9.44]","[49, 12, 37, 24.49, 17.37]","[56, 12, 44, 21.43, 12.46]","[53, 18, 35, 33.96, 16.64]","[43, 16, 27, 37.21, 21.86]","[47, 14, 33, 29.79, 14.83]","[48, 18, 30, 37.5, 24.83]","[52, 17, 35, 32.69, 16.38]","[45, 12, 33, 26.67, 27.76]","[54, 16, 38, 29.63, 18.35]","[45, 16, 29, 35.56, 26.91]","[55, 19, 36, 34.55, 27.07]","[52, 16, 35, 30.77, 21.67]","[51, 15, 35, 29.41, 10.52]","[38, 13, 25, 34.21, 16.34]","[42, 16, 26, 38.1, 26.98]","[53, 14, 39, 26.42, 18.15]","[40, 16, 24, 40.0, 17.52]","[16, 3, 13, 18.75, 15.25]","[48, 16, 32, 33.33, 17.19]","[43, 14, 29, 32.56, 16.93]","[55, 17, 38, 30.91, 18.04]","[55, 19, 36, 34.55, 22.84]","[21, 9, 12, 42.86, 23.67]","[34, 11, 23, 32.35, 36.74]","[31, 7, 24, 22.58, 24.77]","[36, 9, 27, 25.0, 26.89]","[43, 12, 31, 27.91, 18.07]","[47, 10, 37, 21.28, 12.57]","[49, 16, 33, 32.65, 11.51]","[41, 12, 29, 29.27, 22.22]","[52, 22, 30, 42.31, 21.04]","[31, 13, 18, 41.94, 13.87]","[45, 14, 30, 31.11, 13.33]","[56, 20, 36, 35.71, 11.88]","[53, 21, 32, 39.62, 15.19]","[46, 15, 31, 32.61, 22.57]","[70, 21, 49, 30.0, 16.56]","[46, 14, 32, 30.43, 22.04]","[58, 20, 38, 34.48, 16.41]","[42, 10, 32, 23.81, 19.6]","[35, 10, 25, 28.57, 10.17]","[42, 10, 32, 23.81, 13.31]","[40, 16, 24, 40.0, 15.62]","[50, 20, 30, 40.0, 26.34]","[2, 0, 2, 0.0, 13.5]","[34, 17, 17, 50.0, 28.41]","[38, 11, 27, 28.95, 24.66]","[43, 14, 29, 32.56, 24.0]","[56, 17, 38, 30.36, 19.59]","[42, 18, 24, 42.86, 25.5]","[38, 12, 26, 31.58, 14.21]","[52, 15, 36, 28.85, 13.88]","[47, 16, 31, 34.04, 15.7]","[75, 28, 47, 37.33, 14.43]","[42, 16, 26, 38.1, 33.05]","[21, 8, 13, 38.1, 65.05]","[34, 10, 24, 29.41, 37.88]","[46, 16, 30, 34.78, 12.37]","[56, 14, 42, 25.0, 17.61]","[41, 11, 30, 26.83, 17.98]","[52, 14, 38, 26.92, 13.85]","[54, 14, 40, 25.93, 21.06]","[52, 17, 35, 32.69, 23.5]","[51, 11, 40, 21.57, 16.47]","[46, 24, 22, 52.17, 13.02]","[44, 12, 32, 27.27, 19.34]","[45, 16, 29, 35.56, 23.78]","[46, 13, 33, 28.26, 11.07]","[13, 3, 10, 23.08, 19.69]","[33, 10, 23, 30.3, 21.64]","[49, 21, 28, 42.86, 18.27]","[54, 19, 35, 35.19, 15.85]","[47, 14, 33, 29.79, 16.47]","[52, 18, 34, 34.62, 21.27]","[44, 17, 26, 38.64, 14.16]","[50, 15, 35, 30.0, 13.74]","[48, 20, 28, 41.67, 17.27]","[43, 18, 25, 41.86, 35.23]","[49, 22, 26, 44.9, 16.71]","[41, 14, 27, 34.15, 19.41]","[58, 19, 39, 32.76, 17.9]","[35, 10, 24, 28.57, 22.0]","[49, 13, 36, 26.53, 12.78]","[48, 17, 31, 35.42, 12.35]","[50, 15, 35, 30.0, 27.22]","[53, 17, 35, 32.08, 12.4]"
"(15, 5)","[29, 9, 20, 31.03, 276.03]","[27, 8, 19, 29.63, 140.22]","[19, 8, 10, 42.11, 80.68]","[32, 15, 17, 46.88, 210.09]","[23, 6, 17, 26.09, 286.78]","[28, 9, 18, 32.14, 170.96]","[21, 8, 13, 38.1, 371.1]","[29, 7, 22, 24.14, 204.21]","[27, 9, 18, 33.33, 311.48]","[27, 8, 18, 29.63, 335.33]","[31, 12, 19, 38.71, 165.71]","[25, 13, 12, 52.0, 296.76]","[30, 14, 15, 46.67, 194.6]","[20, 6, 14, 30.0, 114.2]","[27, 5, 21, 18.52, 108.81]","[28, 10, 18, 35.71, 250.54]","[28, 7, 20, 25.0, 246.68]","[32, 12, 20, 37.5, 238.03]","[28, 7, 21, 25.0, 232.0]","[31, 9, 22, 29.03, 207.26]","[26, 10, 15, 38.46, 336.85]","[30, 13, 16, 43.33, 216.23]","[19, 6, 12, 31.58, 392.95]","[34, 7, 26, 20.59, 227.47]","[20, 7, 13, 35.0, 490.3]","[28, 10, 18, 35.71, 337.46]","[31, 9, 21, 29.03, 178.94]","[39, 11, 27, 28.21, 82.11]","[23, 10, 12, 43.48, 205.83]","[24, 7, 17, 29.17, 304.54]","[38, 10, 28, 26.32, 168.95]","[25, 8, 17, 32.0, 208.2]","[11, 3, 8, 27.27, 106.55]","[26, 8, 18, 30.77, 268.5]","[25, 7, 17, 28.0, 226.4]","[34, 16, 18, 47.06, 191.29]","[22, 10, 12, 45.45, 380.73]","[15, 3, 11, 20.0, 145.87]","[12, 6, 5, 50.0, 583.83]","[12, 4, 8, 33.33, 454.92]","[23, 5, 17, 21.74, 273.74]","[27, 9, 18, 33.33, 273.15]","[32, 13, 19, 40.62, 128.22]","[32, 12, 20, 37.5, 140.84]","[18, 6, 12, 33.33, 489.17]","[27, 11, 15, 40.74, 287.0]","[16, 7, 8, 43.75, 262.94]","[23, 10, 12, 43.48, 210.52]","[32, 16, 16, 50.0, 277.84]","[34, 11, 23, 32.35, 153.21]","[30, 8, 22, 26.67, 177.83]","[39, 8, 31, 20.51, 188.03]","[25, 9, 15, 36.0, 410.28]","[30, 10, 19, 33.33, 281.57]","[19, 7, 11, 36.84, 424.32]","[31, 8, 23, 25.81, 69.29]","[31, 9, 21, 29.03, 144.23]","[34, 11, 22, 32.35, 152.09]","[25, 10, 14, 40.0, 393.68]","[2, 0, 2, 0.0, 77.0]","[23, 11, 12, 47.83, 230.61]","[22, 6, 15, 27.27, 296.0]","[29, 4, 25, 13.79, 202.79]","[30, 8, 21, 26.67, 310.3]","[26, 9, 16, 34.62, 300.31]","[29, 8, 21, 27.59, 124.9]","[31, 8, 22, 25.81, 229.58]","[28, 10, 17, 35.71, 206.0]","[43, 17, 25, 39.53, 163.21]","[23, 9, 13, 39.13, 414.04]","[12, 4, 7, 33.33, 713.58]","[22, 7, 14, 31.82, 368.64]","[30, 8, 22, 26.67, 150.37]","[28, 9, 18, 32.14, 241.71]","[25, 8, 17, 32.0, 235.36]","[36, 12, 24, 33.33, 135.75]","[21, 7, 13, 33.33, 454.24]","[24, 11, 13, 45.83, 357.0]","[32, 12, 19, 37.5, 213.59]","[30, 12, 17, 40.0, 134.53]","[22, 7, 14, 31.82, 398.86]","[26, 12, 13, 46.15, 292.88]","[34, 9, 24, 26.47, 117.44]","[12, 1, 11, 8.33, 83.33]","[14, 7, 7, 50.0, 540.21]","[36, 10, 25, 27.78, 159.64]","[35, 9, 26, 25.71, 211.49]","[32, 10, 22, 31.25, 239.22]","[28, 7, 21, 25.0, 274.82]","[34, 10, 23, 29.41, 177.53]","[33, 11, 22, 33.33, 146.82]","[29, 12, 17, 41.38, 173.07]","[23, 7, 16, 30.43, 381.61]","[24, 11, 12, 45.83, 304.88]","[25, 9, 15, 36.0, 219.2]","[34, 11, 22, 32.35, 250.24]","[25, 7, 17, 28.0, 243.8]","[33, 9, 24, 27.27, 196.94]","[35, 10, 25, 28.57, 137.26]","[23, 9, 14, 39.13, 378.65]","[39, 14, 24, 35.9, 120.82]"
"(30, 10)","[15, 6, 9, 40.0, 768.4]","[24, 9, 15, 37.5, 293.17]","[15, 7, 7, 46.67, 167.07]","[14, 5, 9, 35.71, 766.64]","[12, 6, 6, 50.0, 940.92]","[13, 5, 7, 38.46, 830.85]","[12, 5, 7, 41.67, 900.0]","[19, 4, 14, 21.05, 458.74]","[14, 6, 8, 42.86, 943.07]","[8, 3, 4, 37.5, 1589.38]","[16, 10, 6, 62.5, 498.88]","[13, 7, 6, 53.85, 979.31]","[19, 11, 7, 57.89, 485.16]","[12, 2, 9, 16.67, 271.17]","[21, 5, 15, 23.81, 382.52]","[14, 6, 7, 42.86, 916.0]","[16, 5, 10, 31.25, 767.5]","[17, 7, 10, 41.18, 710.24]","[16, 4, 11, 25.0, 581.62]","[15, 4, 11, 26.67, 779.07]","[11, 4, 6, 36.36, 1162.73]","[16, 9, 6, 56.25, 687.56]","[10, 2, 7, 20.0, 1013.2]","[13, 3, 9, 23.08, 950.54]","[10, 3, 6, 30.0, 1212.6]","[12, 4, 7, 33.33, 1103.33]","[18, 8, 9, 44.44, 574.67]","[27, 7, 19, 25.93, 255.48]","[12, 6, 5, 50.0, 727.83]","[12, 2, 9, 16.67, 998.5]","[16, 7, 9, 43.75, 762.56]","[12, 6, 6, 50.0, 888.92]","[5, 1, 4, 20.0, 459.2]","[11, 4, 7, 36.36, 1110.0]","[17, 6, 10, 35.29, 549.12]","[18, 7, 10, 38.89, 514.72]","[8, 4, 3, 50.0, 1677.62]","[11, 3, 7, 27.27, 321.82]","[8, 3, 4, 37.5, 1489.0]","[6, 2, 3, 33.33, 1240.83]","[10, 2, 7, 20.0, 1125.2]","[17, 4, 12, 23.53, 518.0]","[23, 9, 13, 39.13, 418.61]","[22, 8, 14, 36.36, 410.86]","[9, 4, 4, 44.44, 1299.22]","[16, 6, 9, 37.5, 750.44]","[6, 3, 2, 50.0, 1386.83]","[13, 5, 7, 38.46, 536.08]","[20, 7, 12, 35.0, 581.15]","[18, 7, 10, 38.89, 550.89]","[15, 5, 9, 33.33, 723.07]","[21, 4, 16, 19.05, 507.71]","[13, 6, 6, 46.15, 1037.92]","[11, 3, 7, 27.27, 1214.09]","[7, 2, 4, 28.57, 1916.0]","[23, 9, 14, 39.13, 277.17]","[17, 8, 8, 47.06, 610.18]","[21, 7, 13, 33.33, 468.38]","[9, 4, 4, 44.44, 1174.78]","[1, 0, 1, 0.0, 436.0]","[14, 9, 4, 64.29, 698.36]","[11, 4, 6, 36.36, 884.82]","[15, 1, 13, 6.67, 686.0]","[9, 4, 4, 44.44, 1454.78]","[14, 6, 7, 42.86, 934.5]","[16, 4, 11, 25.0, 576.56]","[13, 5, 7, 38.46, 1090.92]","[15, 8, 6, 53.33, 679.07]","[24, 8, 15, 33.33, 438.0]","[7, 4, 2, 57.14, 1448.57]","[5, 2, 2, 40.0, 1950.0]","[11, 4, 6, 36.36, 930.91]","[17, 6, 10, 35.29, 479.76]","[12, 4, 7, 33.33, 1094.25]","[18, 4, 13, 22.22, 502.89]","[20, 7, 13, 35.0, 519.8]","[8, 4, 3, 50.0, 1391.25]","[13, 7, 6, 53.85, 921.69]","[17, 8, 8, 47.06, 763.71]","[23, 4, 18, 17.39, 333.7]","[11, 3, 7, 27.27, 1180.55]","[13, 7, 5, 53.85, 956.08]","[24, 7, 16, 29.17, 287.67]","[7, 2, 5, 28.57, 332.57]","[9, 4, 4, 44.44, 939.89]","[21, 6, 14, 28.57, 461.57]","[18, 6, 11, 33.33, 750.0]","[17, 7, 10, 41.18, 746.29]","[15, 3, 11, 20.0, 755.47]","[20, 7, 12, 35.0, 495.2]","[23, 6, 17, 26.09, 369.83]","[18, 7, 10, 38.89, 487.28]","[10, 4, 6, 40.0, 1371.1]","[12, 5, 6, 41.67, 1041.08]","[15, 7, 7, 46.67, 674.6]","[16, 5, 10, 31.25, 815.69]","[14, 3, 10, 21.43, 710.0]","[19, 7, 12, 36.84, 624.63]","[24, 6, 17, 25.0, 377.71]","[15, 6, 8, 40.0, 809.67]","[21, 10, 10, 47.62, 418.62]"
