Profit_Loss_Windows,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BERGEPAINT,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HDFC,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,IGL,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,LICI,LTI,LT,LUPIN,MARICO,MARUTI,MCDOWELL-N,MM,MUTHOOTFIN,NAUKRI,NESTLEIND,NIFTY 50,NIFTY BANK,NMDC,NTPC,ONGC,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK
"(1, 0.33)","[49, 16, 33, 32.65, 3.41]","[35, 15, 20, 42.86, 2.69]","[18, 6, 12, 33.33, 2.94]","[43, 19, 24, 44.19, 3.16]","[37, 16, 21, 43.24, 3.27]","[48, 17, 31, 35.42, 4.27]","[45, 13, 32, 28.89, 3.98]","[38, 11, 27, 28.95, 2.42]","[43, 18, 25, 41.86, 4.0]","[33, 12, 21, 36.36, 5.18]","[37, 14, 23, 37.84, 3.08]","[34, 11, 23, 32.35, 4.94]","[37, 13, 24, 35.14, 3.35]","[18, 10, 8, 55.56, 2.5]","[41, 19, 22, 46.34, 3.29]","[30, 12, 18, 40.0, 3.9]","[38, 14, 24, 36.84, 3.53]","[40, 15, 25, 37.5, 3.77]","[25, 4, 21, 16.0, 4.08]","[40, 15, 25, 37.5, 2.88]","[46, 13, 33, 28.26, 3.54]","[44, 14, 30, 31.82, 2.5]","[38, 17, 21, 44.74, 3.58]","[31, 16, 15, 51.61, 3.39]","[37, 15, 22, 40.54, 4.95]","[38, 7, 31, 18.42, 3.5]","[34, 16, 18, 47.06, 4.12]","[54, 17, 37, 31.48, 2.43]","[39, 17, 22, 43.59, 3.36]","[33, 12, 21, 36.36, 3.91]","[33, 15, 18, 45.45, 3.73]","[39, 13, 26, 33.33, 2.72]","[15, 6, 9, 40.0, 2.93]","[52, 17, 35, 32.69, 3.69]","[36, 13, 23, 36.11, 3.17]","[42, 18, 24, 42.86, 2.9]","[46, 16, 30, 34.78, 4.63]","[17, 7, 10, 41.18, 2.71]","[34, 12, 22, 35.29, 7.59]","[22, 9, 13, 40.91, 3.23]","[39, 12, 27, 30.77, 4.03]","[49, 18, 31, 36.73, 4.65]","[35, 9, 26, 25.71, 2.46]","[28, 8, 20, 28.57, 3.14]","[32, 17, 14, 53.12, 4.72]","[34, 8, 26, 23.53, 4.03]","[39, 15, 24, 38.46, 3.74]","[27, 15, 12, 55.56, 2.89]","[33, 10, 23, 30.3, 2.94]","[30, 14, 16, 46.67, 2.77]","[40, 12, 28, 30.0, 2.85]","[59, 25, 34, 42.37, 3.64]","[47, 14, 33, 29.79, 4.02]","[34, 6, 28, 17.65, 3.85]","[29, 11, 18, 37.93, 3.97]","[38, 12, 26, 31.58, 2.24]","[45, 12, 33, 26.67, 3.02]","[30, 9, 21, 30.0, 3.67]","[45, 12, 33, 26.67, 3.64]","[2, 0, 2, 0.0, 4.0]","[31, 14, 17, 45.16, 4.13]","[38, 11, 27, 28.95, 3.89]","[41, 17, 24, 41.46, 4.0]","[38, 13, 25, 34.21, 4.13]","[33, 5, 28, 15.15, 3.15]","[42, 15, 27, 35.71, 3.14]","[18, 6, 12, 33.33, 3.56]","[48, 23, 25, 47.92, 2.56]","[49, 12, 37, 24.49, 2.98]","[41, 17, 24, 41.46, 3.98]","[27, 10, 17, 37.04, 11.3]","[33, 15, 18, 45.45, 5.85]","[32, 12, 20, 37.5, 2.84]","[42, 11, 31, 26.19, 3.14]","[44, 15, 29, 34.09, 3.66]","[32, 13, 19, 40.62, 3.69]","[42, 15, 27, 35.71, 4.21]","[43, 13, 30, 30.23, 3.95]","[51, 14, 37, 27.45, 2.29]","[37, 14, 23, 37.84, 3.32]","[45, 15, 30, 33.33, 5.69]","[47, 23, 24, 48.94, 4.53]","[41, 13, 28, 31.71, 1.9]","[13, 5, 8, 38.46, 2.46]","[32, 4, 28, 12.5, 3.62]","[40, 15, 25, 37.5, 3.42]","[45, 13, 32, 28.89, 3.47]","[28, 9, 19, 32.14, 3.0]","[49, 19, 30, 38.78, 3.94]","[48, 16, 32, 33.33, 2.6]","[28, 9, 19, 32.14, 3.64]","[31, 11, 20, 35.48, 2.45]","[33, 14, 19, 42.42, 4.88]","[35, 8, 27, 22.86, 3.26]","[34, 13, 21, 38.24, 3.53]","[40, 15, 25, 37.5, 3.62]","[38, 14, 24, 36.84, 3.68]","[35, 20, 15, 57.14, 2.97]","[43, 14, 29, 32.56, 2.77]","[32, 10, 22, 31.25, 4.47]","[35, 14, 21, 40.0, 2.69]"
"(3, 1)","[42, 17, 25, 40.48, 17.4]","[34, 11, 23, 32.35, 6.24]","[15, 6, 9, 40.0, 7.6]","[39, 11, 28, 28.21, 11.97]","[29, 14, 15, 48.28, 15.38]","[43, 15, 28, 34.88, 13.05]","[39, 11, 28, 28.21, 20.77]","[34, 11, 23, 32.35, 13.26]","[39, 20, 19, 51.28, 14.85]","[30, 7, 23, 23.33, 19.73]","[33, 16, 17, 48.48, 14.88]","[32, 8, 24, 25.0, 20.16]","[30, 12, 18, 40.0, 14.7]","[16, 8, 8, 50.0, 5.75]","[38, 14, 24, 36.84, 11.47]","[28, 10, 18, 35.71, 18.36]","[33, 8, 25, 24.24, 12.21]","[36, 14, 22, 38.89, 14.03]","[20, 3, 17, 15.0, 17.8]","[36, 12, 24, 33.33, 11.61]","[40, 14, 26, 35.0, 16.48]","[40, 11, 29, 27.5, 8.85]","[33, 12, 21, 36.36, 20.45]","[27, 12, 15, 44.44, 11.33]","[32, 8, 24, 25.0, 28.59]","[32, 8, 24, 25.0, 18.69]","[32, 12, 20, 37.5, 17.16]","[43, 15, 27, 34.88, 9.21]","[32, 14, 18, 43.75, 15.09]","[28, 12, 16, 42.86, 14.32]","[32, 14, 18, 43.75, 10.5]","[32, 9, 23, 28.12, 11.06]","[14, 3, 11, 21.43, 8.43]","[45, 16, 29, 35.56, 10.16]","[31, 9, 22, 29.03, 14.68]","[29, 14, 15, 48.28, 16.59]","[41, 16, 25, 39.02, 20.61]","[16, 8, 8, 50.0, 19.44]","[30, 12, 18, 40.0, 39.63]","[18, 8, 10, 44.44, 12.61]","[37, 13, 24, 35.14, 21.51]","[40, 10, 30, 25.0, 18.38]","[31, 10, 21, 32.26, 8.39]","[24, 6, 18, 25.0, 11.08]","[27, 13, 13, 48.15, 23.96]","[29, 11, 18, 37.93, 16.17]","[35, 12, 23, 34.29, 14.43]","[23, 10, 13, 43.48, 10.78]","[28, 8, 20, 28.57, 13.39]","[25, 11, 14, 44.0, 14.6]","[34, 11, 23, 32.35, 15.59]","[54, 17, 37, 31.48, 9.72]","[35, 9, 26, 25.71, 19.29]","[31, 6, 25, 19.35, 12.42]","[24, 8, 16, 33.33, 12.54]","[35, 8, 27, 22.86, 6.03]","[41, 10, 31, 24.39, 9.27]","[26, 11, 15, 42.31, 12.04]","[40, 10, 30, 25.0, 19.5]","[2, 1, 1, 50.0, 33.0]","[26, 8, 18, 30.77, 13.69]","[32, 11, 20, 34.38, 15.78]","[34, 11, 23, 32.35, 11.62]","[35, 10, 25, 28.57, 15.31]","[28, 8, 20, 28.57, 15.57]","[38, 14, 24, 36.84, 12.05]","[16, 3, 13, 18.75, 11.56]","[42, 19, 23, 45.24, 11.31]","[43, 14, 29, 32.56, 9.02]","[35, 14, 21, 40.0, 19.97]","[25, 7, 18, 28.0, 52.28]","[31, 12, 19, 38.71, 40.03]","[31, 11, 20, 35.48, 13.06]","[38, 12, 26, 31.58, 15.89]","[39, 8, 31, 20.51, 12.82]","[30, 8, 22, 26.67, 8.7]","[38, 10, 28, 26.32, 26.45]","[36, 12, 24, 33.33, 20.47]","[46, 13, 33, 28.26, 11.04]","[34, 10, 24, 29.41, 9.82]","[41, 11, 30, 26.83, 23.41]","[38, 18, 20, 47.37, 19.03]","[37, 11, 26, 29.73, 10.46]","[13, 5, 8, 38.46, 14.38]","[29, 5, 24, 17.24, 14.17]","[33, 16, 16, 48.48, 15.73]","[40, 11, 29, 27.5, 11.28]","[25, 7, 18, 28.0, 16.24]","[44, 16, 28, 36.36, 14.75]","[36, 9, 27, 25.0, 14.61]","[26, 10, 16, 38.46, 11.73]","[27, 10, 17, 37.04, 9.96]","[32, 14, 18, 43.75, 23.69]","[35, 11, 24, 31.43, 11.34]","[29, 11, 18, 37.93, 11.86]","[34, 14, 20, 41.18, 15.32]","[34, 14, 20, 41.18, 13.65]","[30, 10, 20, 33.33, 13.3]","[41, 13, 28, 31.71, 8.0]","[28, 10, 18, 35.71, 25.43]","[34, 16, 18, 47.06, 8.82]"
"(15, 5)","[28, 6, 22, 21.43, 176.79]","[23, 12, 11, 52.17, 94.74]","[14, 9, 5, 64.29, 56.71]","[29, 7, 22, 24.14, 111.97]","[18, 5, 13, 27.78, 199.56]","[21, 5, 15, 23.81, 280.24]","[24, 11, 13, 45.83, 226.83]","[20, 4, 16, 20.0, 179.8]","[21, 7, 14, 33.33, 227.33]","[23, 4, 18, 17.39, 149.22]","[20, 8, 11, 40.0, 178.7]","[21, 11, 10, 52.38, 249.43]","[24, 14, 9, 58.33, 146.17]","[13, 6, 7, 46.15, 78.31]","[28, 8, 19, 28.57, 103.29]","[18, 7, 11, 38.89, 183.22]","[15, 7, 8, 46.67, 188.13]","[28, 10, 18, 35.71, 153.07]","[19, 2, 17, 10.53, 125.26]","[29, 5, 24, 17.24, 128.21]","[24, 9, 14, 37.5, 217.83]","[28, 11, 16, 39.29, 152.14]","[19, 7, 12, 36.84, 355.53]","[22, 4, 17, 18.18, 111.82]","[17, 7, 10, 41.18, 385.82]","[17, 8, 9, 47.06, 344.47]","[20, 5, 15, 25.0, 226.85]","[28, 9, 18, 32.14, 83.32]","[19, 7, 12, 36.84, 185.53]","[18, 6, 11, 33.33, 242.22]","[24, 5, 19, 20.83, 141.0]","[21, 4, 17, 19.05, 158.76]","[9, 3, 6, 33.33, 105.22]","[27, 13, 14, 48.15, 185.56]","[24, 7, 16, 29.17, 117.92]","[20, 8, 12, 40.0, 165.4]","[21, 8, 12, 38.1, 247.95]","[11, 3, 7, 27.27, 185.36]","[18, 6, 12, 33.33, 334.94]","[12, 3, 9, 25.0, 277.83]","[17, 8, 9, 47.06, 333.65]","[24, 8, 16, 33.33, 204.33]","[21, 10, 11, 47.62, 113.67]","[18, 8, 10, 44.44, 126.22]","[12, 6, 5, 50.0, 368.58]","[22, 9, 12, 40.91, 164.77]","[19, 5, 14, 26.32, 215.95]","[15, 7, 8, 46.67, 131.53]","[18, 7, 11, 38.89, 145.06]","[18, 3, 15, 16.67, 159.06]","[19, 8, 11, 42.11, 243.37]","[35, 4, 31, 11.43, 115.97]","[16, 5, 10, 31.25, 357.81]","[22, 5, 17, 22.73, 140.32]","[15, 6, 8, 40.0, 410.07]","[33, 9, 24, 27.27, 44.88]","[28, 7, 21, 25.0, 117.64]","[20, 6, 14, 30.0, 87.05]","[19, 5, 13, 26.32, 267.37]","[2, 0, 2, 0.0, 154.0]","[17, 5, 11, 29.41, 161.06]","[25, 9, 15, 36.0, 175.8]","[26, 1, 24, 3.85, 85.23]","[21, 8, 12, 38.1, 315.62]","[17, 5, 12, 29.41, 246.47]","[23, 6, 16, 26.09, 144.39]","[12, 3, 9, 25.0, 253.17]","[28, 12, 16, 42.86, 131.89]","[32, 12, 20, 37.5, 95.44]","[22, 9, 12, 40.91, 271.05]","[11, 5, 5, 45.45, 615.0]","[19, 6, 12, 31.58, 291.89]","[19, 8, 10, 42.11, 144.42]","[21, 5, 16, 23.81, 271.48]","[24, 6, 18, 25.0, 161.12]","[21, 4, 17, 19.05, 121.67]","[17, 6, 11, 35.29, 376.88]","[25, 10, 14, 40.0, 221.92]","[23, 7, 16, 30.43, 199.83]","[24, 7, 16, 29.17, 88.21]","[21, 8, 12, 38.1, 360.48]","[21, 12, 9, 57.14, 266.67]","[26, 9, 16, 34.62, 108.19]","[7, 2, 5, 28.57, 149.0]","[13, 6, 7, 46.15, 256.69]","[22, 6, 15, 27.27, 149.73]","[30, 9, 21, 30.0, 130.7]","[19, 6, 13, 31.58, 171.58]","[25, 6, 19, 24.0, 213.28]","[24, 8, 16, 33.33, 161.25]","[21, 6, 15, 28.57, 92.62]","[21, 7, 14, 33.33, 128.57]","[15, 7, 8, 46.67, 382.13]","[19, 8, 11, 42.11, 265.05]","[21, 9, 11, 42.86, 191.33]","[20, 8, 11, 40.0, 266.9]","[21, 8, 12, 38.1, 260.48]","[23, 5, 18, 21.74, 97.35]","[28, 8, 20, 28.57, 103.25]","[18, 6, 12, 33.33, 238.28]","[27, 10, 16, 37.04, 119.56]"
"(30, 10)","[13, 4, 8, 30.77, 668.15]","[17, 9, 8, 52.94, 291.59]","[11, 7, 3, 63.64, 184.64]","[12, 4, 8, 33.33, 662.83]","[11, 4, 7, 36.36, 519.73]","[12, 4, 7, 33.33, 735.67]","[13, 5, 7, 38.46, 619.46]","[15, 2, 12, 13.33, 355.6]","[13, 5, 8, 38.46, 640.62]","[10, 3, 6, 30.0, 975.4]","[14, 9, 4, 64.29, 453.0]","[11, 6, 5, 54.55, 747.27]","[17, 10, 6, 58.82, 372.88]","[9, 2, 7, 22.22, 272.67]","[21, 8, 12, 38.1, 335.71]","[10, 5, 5, 50.0, 759.7]","[12, 5, 6, 41.67, 489.83]","[13, 5, 8, 38.46, 610.69]","[12, 2, 9, 16.67, 422.33]","[16, 5, 10, 31.25, 476.75]","[13, 5, 7, 38.46, 615.23]","[18, 7, 10, 38.89, 394.33]","[11, 3, 7, 27.27, 758.64]","[14, 2, 11, 14.29, 438.79]","[9, 3, 5, 33.33, 974.56]","[10, 3, 6, 30.0, 715.3]","[11, 5, 6, 45.45, 619.73]","[21, 8, 12, 38.1, 211.57]","[15, 6, 8, 40.0, 360.73]","[11, 3, 7, 27.27, 619.0]","[14, 4, 10, 28.57, 479.0]","[15, 3, 12, 20.0, 448.67]","[5, 2, 3, 40.0, 324.2]","[12, 5, 6, 41.67, 649.5]","[14, 5, 8, 35.71, 431.36]","[13, 5, 7, 38.46, 487.77]","[9, 4, 4, 44.44, 1037.67]","[8, 3, 4, 37.5, 428.62]","[8, 4, 3, 50.0, 910.62]","[8, 2, 5, 25.0, 603.62]","[10, 4, 5, 40.0, 795.3]","[12, 3, 8, 25.0, 674.33]","[12, 5, 7, 41.67, 464.58]","[12, 6, 6, 50.0, 408.5]","[8, 4, 3, 50.0, 1078.0]","[15, 6, 8, 40.0, 499.07]","[11, 2, 8, 18.18, 517.45]","[12, 6, 6, 50.0, 390.42]","[14, 5, 8, 35.71, 416.29]","[12, 3, 8, 25.0, 364.25]","[14, 4, 10, 28.57, 554.0]","[17, 2, 14, 11.76, 404.18]","[9, 3, 5, 33.33, 896.22]","[16, 4, 11, 25.0, 378.5]","[6, 2, 3, 33.33, 1461.5]","[26, 9, 17, 34.62, 144.69]","[19, 6, 12, 31.58, 320.47]","[16, 6, 9, 37.5, 331.88]","[10, 4, 5, 40.0, 728.3]","[1, 0, 1, 0.0, 340.0]","[11, 4, 6, 36.36, 511.64]","[14, 6, 7, 42.86, 560.07]","[15, 0, 14, 0.0, 480.53]","[7, 5, 1, 71.43, 1260.14]","[11, 4, 6, 36.36, 599.45]","[13, 4, 8, 30.77, 570.31]","[7, 3, 4, 42.86, 1013.86]","[14, 8, 6, 57.14, 475.14]","[15, 7, 7, 46.67, 451.07]","[9, 4, 4, 44.44, 1027.33]","[5, 2, 2, 40.0, 1575.6]","[10, 3, 6, 30.0, 713.3]","[14, 4, 9, 28.57, 393.64]","[11, 3, 8, 27.27, 816.45]","[13, 3, 9, 23.08, 624.08]","[16, 3, 13, 18.75, 305.75]","[8, 4, 3, 50.0, 981.5]","[11, 6, 4, 54.55, 832.91]","[15, 7, 8, 46.67, 493.0]","[19, 5, 13, 26.32, 266.47]","[6, 3, 2, 50.0, 1630.83]","[9, 7, 1, 77.78, 900.78]","[21, 8, 12, 38.1, 251.48]","[5, 2, 3, 40.0, 406.6]","[7, 3, 3, 42.86, 656.71]","[15, 4, 10, 26.67, 387.13]","[15, 5, 9, 33.33, 606.33]","[12, 4, 7, 33.33, 618.5]","[17, 2, 14, 11.76, 421.94]","[15, 6, 8, 40.0, 361.67]","[16, 3, 13, 18.75, 261.94]","[17, 4, 13, 23.53, 298.29]","[8, 4, 4, 50.0, 1098.75]","[12, 3, 8, 25.0, 659.92]","[13, 6, 6, 46.15, 623.23]","[10, 5, 4, 50.0, 850.3]","[14, 4, 9, 28.57, 562.14]","[15, 4, 11, 26.67, 392.6]","[21, 6, 15, 28.57, 250.9]","[11, 4, 7, 36.36, 716.73]","[18, 7, 10, 38.89, 315.56]"
